accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.6097	0.8373	0.4750	0.7232	0.1869	0.7679	36.6250	0.1372	1449.0000	325.0000	0.2243	1451.0000
2	0.6067	0.8274	0.4636	0.7429	0.1668	0.7779	36.6250	0.1276	1331.0000	296.0000	0.2224	1334.0000
3	0.6078	0.8004	0.4649	0.7378	0.1569	0.7675	36.6250	0.1419	1244.0000	283.0000	0.2275	1246.0000
4	0.5887	0.7944	0.4696	0.7774	0.1490	0.7779	37.0000	0.1157	1149.0000	261.0000	0.2272	1151.0000
5	0.5902	0.7900	0.4755	0.7641	0.1415	0.7879	36.2500	0.1250	1148.0000	244.0000	0.2125	1151.0000
6	0.6120	0.7971	0.4764	0.7635	0.1474	0.7748	36.8750	0.1156	1125.0000	258.0000	0.2293	1127.0000
7	0.6280	0.7922	0.4774	0.7675	0.1446	0.7734	36.6250	0.1425	1103.0000	247.0000	0.2239	1105.0000
8	0.5871	0.7905	0.4878	0.7751	0.1460	0.7855	36.6250	0.1333	1079.0000	244.0000	0.2261	1081.0000
9	0.5707	0.7817	0.4815	0.7611	0.1381	0.7742	36.6250	0.1299	1049.0000	246.0000	0.2345	1051.0000
10	0.6359	0.7872	0.4853	0.7607	0.1367	0.7774	36.3750	0.1203	1087.0000	249.0000	0.2291	1090.0000
11	0.5835	0.7774	0.4909	0.7655	0.1434	0.7767	36.6250	0.1426	1096.0000	248.0000	0.2263	1098.0000
12	0.5780	0.7850	0.4828	0.7754	0.1401	0.7594	36.2500	0.1457	1042.0000	256.0000	0.2457	1044.0000
13	0.6079	0.7856	0.4832	0.7591	0.1379	0.7777	36.7500	0.1356	1081.0000	242.0000	0.2239	1083.0000
14	0.5944	0.7933	0.4881	0.7709	0.1323	0.7780	36.7500	0.1378	1066.0000	241.0000	0.2261	1069.0000
15	0.6082	0.7834	0.4875	0.7868	0.1365	0.7852	36.5000	0.1493	1038.0000	240.0000	0.2312	1040.0000
16	0.6219	0.7949	0.4969	0.7830	0.1470	0.7728	36.0000	0.1246	1073.0000	244.0000	0.2274	1075.0000
