accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
1	0.5582	0.6454	0.3634	0.7685	0.0990	0.7748	36.0000	0.1184	3.6629	213.0000	0.2013	1062.0000	0.6270	617.0000	984.0000
2	0.5641	0.5970	0.3485	0.7976	0.0870	0.7845	35.6250	0.1290	3.4363	181.0000	0.2029	895.0000	0.5427	534.0000	984.0000
3	0.5341	0.6031	0.3559	0.7958	0.0811	0.7456	35.6250	0.1656	3.3623	185.0000	0.2354	788.0000	0.4797	472.0000	984.0000
4	0.5221	0.5860	0.3553	0.7835	0.0839	0.7541	36.0000	0.1562	3.3711	182.0000	0.2255	809.0000	0.4929	485.0000	984.0000
5	0.5289	0.5827	0.3765	0.7905	0.0830	0.7416	36.3750	0.1686	3.3448	197.0000	0.2549	776.0000	0.5010	493.0000	984.0000
6	0.5349	0.5844	0.3617	0.7951	0.0833	0.7657	35.7500	0.1599	3.3053	173.0000	0.2215	785.0000	0.4959	488.0000	984.0000
7	0.5285	0.5893	0.3617	0.7977	0.0856	0.7466	35.0000	0.1653	3.4416	174.0000	0.2387	731.0000	0.4441	437.0000	984.0000
8	0.5147	0.5712	0.3479	0.8094	0.0742	0.7604	35.1250	0.1740	3.2986	167.0000	0.2303	727.0000	0.4390	432.0000	984.0000
9	0.5329	0.5816	0.3668	0.8014	0.0796	0.7439	35.5000	0.1652	3.3568	170.0000	0.2300	744.0000	0.4756	468.0000	984.0000
10	0.5300	0.5761	0.3651	0.8004	0.0789	0.7513	35.2500	0.1567	3.3270	168.0000	0.2258	747.0000	0.4848	477.0000	984.0000
11	0.5191	0.5701	0.3578	0.8021	0.0742	0.7446	35.6250	0.1671	3.2707	180.0000	0.2423	749.0000	0.4654	458.0000	984.0000
12	0.5274	0.5866	0.3645	0.8033	0.0816	0.7497	35.7500	0.1504	3.4808	177.0000	0.2389	743.0000	0.4502	443.0000	984.0000
13	0.5309	0.5745	0.3648	0.8076	0.0752	0.7516	35.7500	0.1514	3.2267	170.0000	0.2194	785.0000	0.5020	494.0000	984.0000
14	0.5124	0.5756	0.3619	0.8030	0.0808	0.7702	35.6250	0.1612	3.3548	168.0000	0.2280	742.0000	0.4726	465.0000	984.0000
15	0.5456	0.5761	0.3539	0.7977	0.0855	0.7562	35.8750	0.1562	3.3614	169.0000	0.2309	734.0000	0.4472	440.0000	984.0000
16	0.5200	0.5673	0.3397	0.8050	0.0744	0.7445	35.0000	0.1656	3.3027	169.0000	0.2347	722.0000	0.4533	446.0000	984.0000
17	0.5102	0.5849	0.3757	0.8082	0.0812	0.7679	35.1250	0.1446	3.4654	168.0000	0.2211	763.0000	0.4848	477.0000	984.0000
18	0.5442	0.5761	0.3802	0.7988	0.0784	0.7700	36.0000	0.1326	3.3596	173.0000	0.2235	778.0000	0.4776	470.0000	984.0000
19	0.5372	0.5893	0.3575	0.8189	0.0842	0.7695	35.5000	0.1458	3.3826	167.0000	0.2269	739.0000	0.4543	447.0000	984.0000
20	0.5196	0.5778	0.3559	0.7821	0.0846	0.7494	35.7500	0.1658	3.3004	177.0000	0.2246	792.0000	0.4837	476.0000	984.0000
21	0.5403	0.5827	0.3745	0.8013	0.0815	0.7532	36.0000	0.1518	3.4713	182.0000	0.2404	762.0000	0.4787	471.0000	984.0000
22	0.5464	0.5772	0.3533	0.8222	0.0764	0.7536	35.5000	0.1555	3.4587	177.0000	0.2489	713.0000	0.4431	436.0000	984.0000
23	0.4813	0.5783	0.3559	0.7833	0.0704	0.7313	34.7500	0.1681	3.2933	183.0000	0.2389	768.0000	0.4573	450.0000	984.0000
24	0.5201	0.5789	0.3580	0.8031	0.0867	0.7640	35.6250	0.1611	3.3399	167.0000	0.2218	755.0000	0.4634	456.0000	984.0000
25	0.5154	0.5827	0.3668	0.7879	0.0768	0.7447	35.2500	0.1495	3.3062	172.0000	0.2231	774.0000	0.4746	467.0000	984.0000
26	0.5369	0.5750	0.3472	0.8013	0.0725	0.7473	35.5000	0.1596	3.3620	180.0000	0.2479	729.0000	0.4970	489.0000	984.0000
27	0.5239	0.5800	0.3679	0.7844	0.0830	0.7613	35.6250	0.1525	3.2967	174.0000	0.2263	772.0000	0.5000	492.0000	984.0000
28	0.5154	0.5816	0.3596	0.8181	0.0829	0.7518	35.7500	0.1697	3.3823	171.0000	0.2271	759.0000	0.4705	463.0000	984.0000
29	0.5236	0.5772	0.3608	0.7871	0.0775	0.7409	35.5000	0.1650	3.4235	176.0000	0.2458	718.0000	0.4583	451.0000	984.0000
30	0.5203	0.5761	0.3594	0.7864	0.0835	0.7455	35.3750	0.1736	3.4013	178.0000	0.2383	751.0000	0.4685	461.0000	984.0000
31	0.5195	0.5871	0.3635	0.7996	0.0813	0.7504	35.6250	0.1610	3.4009	176.0000	0.2316	766.0000	0.4715	464.0000	984.0000
