accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.5408	0.6438	0.3448	0.7491	0.0991	0.7609	36.1250	0.1350	1033.0000	233.0000	0.2256	1036.0000
2	0.5237	0.6086	0.3451	0.7840	0.0890	0.7715	35.5000	0.1455	913.0000	189.0000	0.2070	918.0000
3	0.5497	0.5987	0.3534	0.8041	0.0872	0.7820	35.8750	0.1422	806.0000	179.0000	0.2221	808.0000
4	0.5131	0.5827	0.3554	0.8016	0.0816	0.7520	35.8750	0.1536	808.0000	181.0000	0.2240	811.0000
5	0.5219	0.5866	0.3564	0.7830	0.0819	0.7341	35.2500	0.1643	768.0000	185.0000	0.2409	771.0000
6	0.5240	0.5921	0.3712	0.7974	0.0857	0.7403	35.7500	0.1735	803.0000	179.0000	0.2229	806.0000
7	0.5629	0.5778	0.3653	0.7935	0.0860	0.7560	35.1250	0.1586	766.0000	170.0000	0.2219	770.0000
8	0.5078	0.5789	0.3559	0.7844	0.0858	0.7239	35.3750	0.1693	729.0000	182.0000	0.2497	735.0000
9	0.5325	0.5657	0.3494	0.8163	0.0778	0.7580	35.7500	0.1380	732.0000	170.0000	0.2322	734.0000
10	0.5250	0.5877	0.3539	0.8077	0.0822	0.7502	36.0000	0.1673	724.0000	172.0000	0.2376	727.0000
11	0.5106	0.5668	0.3551	0.8056	0.0846	0.7583	35.6250	0.1626	735.0000	169.0000	0.2299	740.0000
12	0.5165	0.5767	0.3578	0.7943	0.0793	0.7576	35.6250	0.1602	742.0000	170.0000	0.2291	748.0000
13	0.5168	0.5805	0.3587	0.8120	0.0834	0.7782	35.3750	0.1412	729.0000	158.0000	0.2167	731.0000
14	0.5012	0.5800	0.3513	0.7909	0.0904	0.7429	36.2500	0.1707	758.0000	174.0000	0.2296	760.0000
15	0.5185	0.5701	0.3441	0.8136	0.0809	0.7500	35.7500	0.1710	763.0000	169.0000	0.2215	769.0000
16	0.5346	0.5673	0.3496	0.8088	0.0798	0.7492	35.3750	0.1628	715.0000	173.0000	0.2420	720.0000
17	0.5254	0.5794	0.3545	0.8035	0.0815	0.7609	35.5000	0.1551	769.0000	165.0000	0.2146	773.0000
18	0.4924	0.5679	0.3543	0.7978	0.0818	0.7344	34.8750	0.1531	729.0000	177.0000	0.2428	734.0000
19	0.5229	0.5827	0.3550	0.8049	0.0839	0.7442	35.1250	0.1479	765.0000	172.0000	0.2248	768.0000
20	0.4849	0.5651	0.3597	0.8098	0.0814	0.7586	35.2500	0.1418	770.0000	168.0000	0.2182	773.0000
21	0.5420	0.5855	0.3492	0.8061	0.0806	0.7694	35.0000	0.1462	740.0000	157.0000	0.2122	744.0000
22	0.5373	0.5816	0.3672	0.8063	0.0800	0.7602	35.5000	0.1326	795.0000	169.0000	0.2126	797.0000
23	0.5274	0.5767	0.3626	0.8095	0.0909	0.7495	35.6250	0.1536	737.0000	175.0000	0.2374	739.0000
24	0.5414	0.5668	0.3500	0.8021	0.0792	0.7499	35.0000	0.1514	762.0000	174.0000	0.2283	766.0000
25	0.5508	0.5783	0.3534	0.8283	0.0883	0.7830	36.0000	0.1163	760.0000	162.0000	0.2132	762.0000
26	0.5162	0.5811	0.3467	0.7830	0.0761	0.7380	35.6250	0.1668	728.0000	172.0000	0.2363	733.0000
