accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.5799	0.6454	0.3703	2.4853	0.1065	0.7842	35.6250	0.1191	3.8701	205.0000	0.1949	1055.0000	0.6311	616.0000	976.0000	0.9573	0.8016
2	0.5520	0.6064	0.3479	2.2181	0.0883	0.7806	35.7500	0.1176	3.4643	176.0000	0.2056	862.0000	0.5451	532.0000	976.0000	0.9490	0.7947
3	0.5394	0.5915	0.3515	2.2298	0.0794	0.7416	36.0000	0.1635	3.4114	184.0000	0.2300	805.0000	0.5031	491.0000	976.0000	0.9267	0.8110
4	0.5451	0.5728	0.3510	2.1802	0.0775	0.7566	35.3750	0.1381	3.2066	168.0000	0.2113	799.0000	0.5256	513.0000	976.0000	0.9387	0.8159
5	0.5237	0.5723	0.3364	2.1701	0.0735	0.7553	35.6250	0.1552	3.3267	163.0000	0.2245	729.0000	0.4611	450.0000	976.0000	0.9479	0.8150
6	0.5427	0.5701	0.3468	2.1339	0.0801	0.7713	35.7500	0.1441	3.2680	164.0000	0.2201	747.0000	0.4969	485.0000	976.0000	0.9331	0.8099
7	0.5142	0.5717	0.3559	2.2154	0.0731	0.7473	35.6250	0.1605	3.1916	174.0000	0.2277	766.0000	0.5133	501.0000	976.0000	0.9373	0.8121
8	0.5254	0.5811	0.3598	2.2165	0.0749	0.7617	36.0000	0.1396	3.2241	165.0000	0.2140	776.0000	0.4846	473.0000	976.0000	0.9459	0.8151
9	0.5430	0.5778	0.3665	2.2280	0.0821	0.7879	35.6250	0.1405	3.2429	167.0000	0.2169	772.0000	0.5020	490.0000	976.0000	0.9378	0.8172
10	0.5062	0.5827	0.3535	2.1906	0.0770	0.7568	35.5000	0.1719	3.4116	171.0000	0.2375	724.0000	0.4580	447.0000	976.0000	0.9240	0.8300
11	0.5324	0.5706	0.3694	2.1326	0.0822	0.7718	35.8750	0.1588	3.1331	166.0000	0.2109	792.0000	0.5236	511.0000	976.0000	0.9419	0.8177
