run	doculect	accuracy	purity	words	sounds
1	Achang_Longchuan	0.6192592592592593	0.7632047602566255	184	34
1	Atsi	0.6658119658119659	0.8255410154000152	194	32
1	Bola	0.631578947368421	0.7705577291549645	193	39
1	Lashi	0.5133986928104575	0.7790104128592805	182	41
1	Maru	0.5900000000000001	0.7854718766507727	187	37
1	Old_Burmese	0.51421568627451	0.7598597359123634	167	27
1	Rangoon	0.48703703703703705	0.7664368451093698	205	43
1	Xiandao	0.5465116279069766	0.7859742155144666	170	41
2	Achang_Longchuan	0.5735042735042736	0.7614140811174596	183	33
2	Atsi	0.5989583333333334	0.806319257324678	177	32
2	Bola	0.5676282051282052	0.7803941448621229	189	37
2	Lashi	0.5608695652173913	0.7769246837494352	176	38
2	Maru	0.6275510204081632	0.7856878523507803	193	38
2	Old_Burmese	0.634920634920635	0.7889084076387951	176	26
2	Rangoon	0.5555555555555555	0.7917199366060288	193	44
2	Xiandao	0.61	0.7949375145598241	171	41
3	Achang_Longchuan	0.5743589743589743	0.7738619098615578	180	33
3	Atsi	0.6547619047619047	0.7814744811170391	184	32
3	Bola	0.6930000000000001	0.7817395864490735	187	38
3	Lashi	0.6565040650406504	0.8137638195426437	174	42
3	Maru	0.5920634920634923	0.7790013706561197	191	39
3	Old_Burmese	0.5240196078431373	0.741134594110365	160	26
3	Rangoon	0.5717054263565892	0.7402315461066628	199	43
3	Xiandao	0.5833333333333334	0.765912702453964	170	41
4	Achang_Longchuan	0.5431372549019606	0.7881976610825366	180	34
4	Atsi	0.682905982905983	0.8299938148996303	185	32
4	Bola	0.6666666666666667	0.8021154157848785	206	38
4	Lashi	0.5605263157894738	0.7896239374839957	176	40
4	Maru	0.6770833333333333	0.8072653591146357	164	39
4	Old_Burmese	0.6369791666666668	0.8188850340204549	159	26
4	Rangoon	0.5755952380952382	0.7903055122896516	207	43
4	Xiandao	0.5630434782608696	0.7831428166069566	161	41
5	Achang_Longchuan	0.5147727272727273	0.7534772034502115	171	32
5	Atsi	0.7000000000000002	0.83419202062153	181	32
5	Bola	0.6406504065040651	0.8042954979084338	186	38
5	Lashi	0.5699186991869919	0.7958668471718378	179	41
5	Maru	0.6694444444444443	0.7980102472528879	178	39
5	Old_Burmese	0.5738095238095238	0.7651904430287874	163	27
5	Rangoon	0.5911111111111113	0.7820188545976214	200	44
5	Xiandao	0.5823529411764705	0.7844876871328371	169	40
6	Achang_Longchuan	0.5877450980392156	0.7871991197349654	172	33
6	Atsi	0.590873015873016	0.8027312321608406	176	32
6	Bola	0.6791666666666667	0.8024091787139666	197	38
6	Lashi	0.6179824561403511	0.7790737954298182	178	41
6	Maru	0.6279874213836477	0.8064693198065974	175	40
6	Old_Burmese	0.6025252525252525	0.7593691531482716	151	26
6	Rangoon	0.5214912280701756	0.7752946343452785	199	43
