run	doculect	accuracy	purity	words	sounds
1	Xiandao	0.3475308641975308	0.6650482732619956	89	37
1	Maru	0.43512820512820505	0.710890352725181	90	34
1	Atsi	0.49629629629629624	0.6934211010725927	93	32
1	Lashi	0.44626436781609197	0.7209170201816761	88	37
1	Rangoon	0.3398148148148148	0.6633805551614228	118	41
1	Bola	0.34920634920634913	0.5927990213193922	65	37
1	Old_Burmese	0.4792397660818714	0.700511903521439	70	25
1	Achang_Longchuan	0.396969696969697	0.7105635467672616	112	34
2	Xiandao	0.3552287581699346	0.6491203844958923	79	37
2	Maru	0.5040983606557379	0.7136816013069991	83	34
2	Atsi	0.5017543859649124	0.6740992482880371	84	32
2	Lashi	0.42375886524822703	0.6960969021753268	104	37
2	Rangoon	0.3767973856209151	0.672671603965601	114	41
2	Bola	0.3125603864734299	0.6589190420726385	73	35
2	Old_Burmese	0.3854609929078015	0.7021982274705727	76	24
2	Achang_Longchuan	0.40261437908496733	0.6658717429228683	106	32
3	Xiandao	0.3630081300813008	0.717025667378391	85	38
3	Maru	0.3625850340136054	0.6437219421323473	76	38
3	Atsi	0.3318181818181818	0.7010207534210257	95	32
3	Lashi	0.3570370370370371	0.7170194837513805	82	38
3	Rangoon	0.334108527131783	0.6365573611668934	109	43
3	Bola	0.36235632183908045	0.6556641203311305	75	34
3	Old_Burmese	0.3565656565656566	0.5705094436103525	81	25
3	Achang_Longchuan	0.27692307692307694	0.5767203149639623	94	32
4	Xiandao	0.2916666666666667	0.6282752145544463	79	38
4	Maru	0.45522875816993474	0.6681448106967472	73	35
4	Atsi	0.5549242424242425	0.6969182701361003	79	32
4	Lashi	0.34404761904761905	0.6812782701549152	89	37
4	Rangoon	0.345578231292517	0.6228727962097061	107	40
4	Bola	0.40942028985507245	0.6364527418673422	89	37
4	Old_Burmese	0.3886363636363636	0.6662721301640396	67	25
4	Achang_Longchuan	0.32051282051282054	0.5967204027488154	92	32
5	Xiandao	0.40315315315315314	0.7234065103104619	81	37
5	Maru	0.4219858156028369	0.7016628802684007	72	33
5	Atsi	0.4196296296296295	0.6690056692132138	75	31
5	Lashi	0.31521739130434784	0.6717773538610433	77	32
5	Rangoon	0.43674242424242427	0.6689169540056543	119	42
5	Bola	0.3784552845528455	0.716485546562487	81	36
5	Old_Burmese	0.3369918699186991	0.6132993088888321	63	25
5	Achang_Longchuan	0.4358695652173914	0.7450603894927906	100	33
6	Xiandao	0.32872340425531915	0.6040780349025392	78	37
6	Maru	0.3991525423728813	0.6393658075345164	69	34
6	Atsi	0.38974358974358975	0.6530770538910943	93	32
6	Lashi	0.3268361581920904	0.6345564985262823	77	34
6	Rangoon	0.2784313725490197	0.5631493424411939	111	43
6	Bola	0.39722222222222225	0.6913831834467136	74	36
6	Old_Burmese	0.36868686868686873	0.606988255251827	81	24
6	Achang_Longchuan	0.3911347517730496	0.6840908211381624	95	33
7	Xiandao	0.41351351351351345	0.703341643981978	84	38
7	Maru	0.36790123456790125	0.6877196469046596	69	34
7	Atsi	0.4104166666666667	0.6922384399751805	96	31
7	Lashi	0.40507246376811595	0.6757672740898969	81	33
7	Rangoon	0.4003703703703704	0.6524665707555246	117	41
7	Bola	0.3746666666666667	0.7085435138910681	74	36
7	Old_Burmese	0.36230158730158724	0.679491151905199	63	25
