accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.4621	0.8470	0.5722	0.7860	0.1064	0.6722	37.8421	0.3836	1502.0000	617.0000	0.4108	1504.0000
2	0.4669	0.8431	0.5705	0.7829	0.0951	0.6775	37.4211	0.3633	1437.0000	561.0000	0.3904	1439.0000
3	0.4793	0.8343	0.5676	0.7987	0.0884	0.6851	37.4737	0.3373	1353.0000	517.0000	0.3821	1355.0000
4	0.4822	0.8317	0.5735	0.7917	0.0821	0.6888	37.2632	0.3202	1298.0000	487.0000	0.3752	1300.0000
5	0.4935	0.8289	0.5721	0.7950	0.0822	0.6957	37.6316	0.3112	1265.0000	467.0000	0.3692	1267.0000
6	0.4599	0.8294	0.5749	0.7858	0.0787	0.6885	37.2632	0.3367	1236.0000	471.0000	0.3811	1238.0000
7	0.4790	0.8296	0.5770	0.7878	0.0774	0.7025	37.3158	0.3100	1225.0000	441.0000	0.3600	1227.0000
8	0.4720	0.8226	0.5772	0.8010	0.0766	0.6918	37.1579	0.3142	1198.0000	446.0000	0.3723	1200.0000
9	0.4770	0.8240	0.5775	0.7900	0.0773	0.7027	37.2105	0.3304	1179.0000	434.0000	0.3681	1181.0000
10	0.4802	0.8208	0.5784	0.7904	0.0753	0.6950	37.1579	0.3308	1182.0000	437.0000	0.3697	1184.0000
11	0.4770	0.8219	0.5790	0.7996	0.0766	0.7038	37.1053	0.3164	1170.0000	431.0000	0.3684	1172.0000
12	0.4709	0.8282	0.5849	0.7892	0.0771	0.6873	37.0526	0.3384	1171.0000	452.0000	0.3860	1173.0000
13	0.4834	0.8229	0.5802	0.8001	0.0744	0.6878	36.9474	0.3338	1166.0000	444.0000	0.3808	1168.0000
14	0.4840	0.8208	0.5815	0.7951	0.0756	0.6957	36.9474	0.3301	1158.0000	434.0000	0.3748	1160.0000
15	0.4857	0.8173	0.5802	0.8021	0.0734	0.6971	37.2632	0.3345	1136.0000	426.0000	0.3750	1138.0000
16	0.4704	0.8205	0.5811	0.8059	0.0739	0.6920	36.9474	0.3472	1120.0000	430.0000	0.3839	1122.0000
17	0.4768	0.8180	0.5797	0.7962	0.0745	0.6907	36.7368	0.3396	1143.0000	439.0000	0.3841	1145.0000
18	0.4981	0.8226	0.5805	0.7998	0.0764	0.6958	37.0526	0.3284	1131.0000	430.0000	0.3802	1133.0000
19	0.4982	0.8259	0.5824	0.7900	0.0768	0.6873	37.1579	0.3249	1166.0000	436.0000	0.3739	1168.0000
20	0.4908	0.8219	0.5806	0.7941	0.0777	0.6949	37.0526	0.3155	1149.0000	428.0000	0.3725	1151.0000
21	0.4866	0.8175	0.5798	0.8002	0.0739	0.6968	37.1053	0.3265	1145.0000	428.0000	0.3738	1147.0000
22	0.4673	0.8219	0.5813	0.8013	0.0742	0.6900	37.0526	0.3542	1147.0000	435.0000	0.3793	1149.0000
23	0.4623	0.8282	0.5805	0.8005	0.0771	0.6838	37.1579	0.3501	1146.0000	440.0000	0.3839	1148.0000
24	0.4758	0.8271	0.5843	0.7876	0.0745	0.6868	37.1053	0.3405	1166.0000	446.0000	0.3825	1168.0000
25	0.4952	0.8217	0.5816	0.8045	0.0774	0.7099	36.9474	0.2979	1158.0000	421.0000	0.3636	1160.0000
26	0.4928	0.8238	0.5829	0.8015	0.0774	0.6834	37.0000	0.3207	1165.0000	435.0000	0.3734	1167.0000
27	0.4741	0.8217	0.5790	0.8025	0.0733	0.6947	37.1053	0.3309	1135.0000	428.0000	0.3771	1137.0000
28	0.4922	0.8189	0.5787	0.7985	0.0744	0.6845	36.8947	0.3271	1129.0000	436.0000	0.3862	1131.0000
29	0.4597	0.8217	0.5793	0.8047	0.0746	0.6891	37.1579	0.3474	1147.0000	431.0000	0.3758	1149.0000
30	0.4953	0.8210	0.5780	0.7924	0.0749	0.7020	36.8947	0.3236	1158.0000	427.0000	0.3687	1160.0000
31	0.4604	0.8275	0.5824	0.8014	0.0775	0.6880	37.0000	0.3407	1158.0000	429.0000	0.3705	1160.0000
32	0.4833	0.8238	0.5809	0.7937	0.0745	0.6963	37.1579	0.3189	1179.0000	429.0000	0.3639	1181.0000
33	0.4825	0.8254	0.5789	0.7938	0.0757	0.6996	37.1579	0.3197	1167.0000	426.0000	0.3650	1169.0000
34	0.4987	0.8233	0.5791	0.8026	0.0766	0.6951	36.8421	0.3182	1141.0000	432.0000	0.3786	1143.0000
35	0.5044	0.8215	0.5784	0.7900	0.0751	0.6919	37.0526	0.3153	1162.0000	429.0000	0.3692	1164.0000
36	0.4585	0.8252	0.5799	0.8010	0.0751	0.6864	37.1053	0.3351	1136.0000	436.0000	0.3838	1138.0000
37	0.4981	0.8192	0.5791	0.8047	0.0763	0.7043	37.0526	0.3241	1130.0000	424.0000	0.3752	1132.0000
38	0.4667	0.8229	0.5832	0.7978	0.0762	0.6967	37.1053	0.3385	1172.0000	431.0000	0.3677	1174.0000
