accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.4275	0.4942	0.3663	0.8056	0.0137	0.6681	36.8421	0.2895	977.0000	249.0000	0.2549	995.0000
2	0.4166	0.4919	0.3656	0.8310	0.0111	0.6567	36.6316	0.2953	818.0000	216.0000	0.2641	838.0000
3	0.4144	0.4768	0.3556	0.8369	0.0091	0.6640	36.3158	0.2884	742.0000	188.0000	0.2534	763.0000
4	0.3969	0.4791	0.3640	0.8444	0.0093	0.6599	36.0526	0.2967	744.0000	188.0000	0.2527	760.0000
5	0.3844	0.4691	0.3576	0.8411	0.0089	0.6478	36.3684	0.3109	708.0000	185.0000	0.2613	731.0000
6	0.3812	0.4682	0.3529	0.8468	0.0084	0.6498	36.3158	0.3081	712.0000	187.0000	0.2626	737.0000
7	0.4027	0.4684	0.3491	0.8516	0.0084	0.6357	36.3684	0.3248	733.0000	190.0000	0.2592	760.0000
8	0.4029	0.4749	0.3662	0.8477	0.0090	0.6481	36.0526	0.3109	719.0000	194.0000	0.2698	745.0000
9	0.3761	0.4707	0.3522	0.8471	0.0089	0.6372	35.9474	0.3280	699.0000	182.0000	0.2604	719.0000
10	0.3879	0.4684	0.3501	0.8412	0.0088	0.6403	36.1579	0.3124	687.0000	185.0000	0.2693	708.0000
11	0.4024	0.4695	0.3516	0.8482	0.0089	0.6558	35.7368	0.2984	696.0000	169.0000	0.2428	708.0000
12	0.3849	0.4670	0.3489	0.8544	0.0091	0.6198	36.2105	0.3471	659.0000	187.0000	0.2838	668.0000
13	0.4186	0.4714	0.3499	0.8339	0.0096	0.6483	35.9474	0.3196	684.0000	184.0000	0.2690	696.0000
14	0.3964	0.4705	0.3518	0.8524	0.0097	0.6283	36.4737	0.3255	681.0000	189.0000	0.2775	695.0000
15	0.3938	0.4730	0.3607	0.8471	0.0086	0.6398	36.1053	0.3227	719.0000	194.0000	0.2698	740.0000
16	0.3724	0.4649	0.3449	0.8553	0.0083	0.6203	36.0000	0.3430	680.0000	192.0000	0.2824	696.0000
17	0.4010	0.4716	0.3583	0.8388	0.0090	0.6347	36.0526	0.3206	694.0000	189.0000	0.2723	709.0000
18	0.3827	0.4677	0.3506	0.8398	0.0087	0.6108	35.8947	0.3486	688.0000	195.0000	0.2834	706.0000
19	0.4064	0.4740	0.3683	0.8311	0.0086	0.6476	35.9474	0.3089	701.0000	192.0000	0.2739	724.0000
20	0.3934	0.4651	0.3505	0.8399	0.0085	0.6473	36.1053	0.3164	676.0000	182.0000	0.2692	692.0000
21	0.4074	0.4700	0.3597	0.8389	0.0083	0.6390	36.0526	0.3170	707.0000	182.0000	0.2574	726.0000
22	0.3828	0.4705	0.3595	0.8393	0.0090	0.6366	36.2105	0.3218	745.0000	188.0000	0.2523	764.0000
23	0.3981	0.4654	0.3494	0.8391	0.0087	0.6411	36.1053	0.3155	686.0000	185.0000	0.2697	704.0000
24	0.3944	0.4742	0.3663	0.8375	0.0091	0.6482	35.8421	0.3045	706.0000	193.0000	0.2734	732.0000
25	0.4133	0.4737	0.3542	0.8354	0.0093	0.6311	36.3684	0.3305	684.0000	189.0000	0.2763	702.0000
26	0.3894	0.4721	0.3592	0.8521	0.0095	0.6322	35.8421	0.3255	692.0000	190.0000	0.2746	712.0000
27	0.4016	0.4709	0.3600	0.8305	0.0087	0.6485	36.1053	0.3142	718.0000	193.0000	0.2688	740.0000
28	0.3964	0.4647	0.3571	0.8513	0.0081	0.6401	36.3684	0.3196	711.0000	184.0000	0.2588	729.0000
29	0.3954	0.4709	0.3664	0.8348	0.0088	0.6367	36.0000	0.3236	720.0000	197.0000	0.2736	733.0000
30	0.3959	0.4707	0.3528	0.8562	0.0094	0.6527	36.1579	0.3185	692.0000	173.0000	0.2500	708.0000
31	0.4088	0.4672	0.3559	0.8514	0.0082	0.6428	35.8947	0.3270	677.0000	184.0000	0.2718	701.0000
32	0.3862	0.4649	0.3614	0.8491	0.0089	0.6189	36.0526	0.3350	676.0000	193.0000	0.2855	692.0000
33	0.4095	0.4700	0.3511	0.8330	0.0090	0.6339	36.0526	0.3245	693.0000	188.0000	0.2713	713.0000
34	0.3894	0.4649	0.3528	0.8430	0.0081	0.6274	35.9474	0.3338	700.0000	198.0000	0.2829	716.0000
35	0.3924	0.4714	0.3614	0.8382	0.0095	0.6289	36.0526	0.3254	715.0000	184.0000	0.2573	732.0000
36	0.3791	0.4686	0.3458	0.8448	0.0087	0.6239	35.7895	0.3396	696.0000	194.0000	0.2787	714.0000
37	0.3935	0.4682	0.3525	0.8464	0.0088	0.6345	36.2632	0.3336	683.0000	197.0000	0.2884	704.0000
38	0.3816	0.4644	0.3589	0.8399	0.0088	0.6317	35.8421	0.3335	698.0000	181.0000	0.2593	713.0000
39	0.3915	0.4686	0.3482	0.8627	0.0080	0.6393	36.2632	0.3235	671.0000	187.0000	0.2787	695.0000
