accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.4214	0.4944	0.3602	0.7897	0.0920	0.6880	36.6316	0.2527	980.0000	244.0000	0.2490	982.0000
2	0.4054	0.4902	0.3644	0.8057	0.0804	0.6703	36.3158	0.2813	808.0000	209.0000	0.2587	826.0000
3	0.3830	0.4786	0.3564	0.8027	0.0729	0.6386	36.4737	0.3153	771.0000	210.0000	0.2724	794.0000
4	0.3886	0.4770	0.3650	0.8162	0.0701	0.6421	36.3684	0.3210	714.0000	197.0000	0.2759	728.0000
5	0.3774	0.4712	0.3489	0.8196	0.0685	0.6398	35.9474	0.3150	686.0000	190.0000	0.2770	707.0000
6	0.3753	0.4693	0.3544	0.8015	0.0700	0.6465	35.8421	0.3154	708.0000	183.0000	0.2585	725.0000
7	0.3893	0.4763	0.3659	0.8106	0.0715	0.6440	36.2105	0.3149	708.0000	200.0000	0.2825	727.0000
8	0.4100	0.4709	0.3439	0.8304	0.0684	0.6525	35.5789	0.2921	715.0000	182.0000	0.2545	736.0000
9	0.3975	0.4695	0.3608	0.8174	0.0689	0.6659	36.3684	0.3021	720.0000	182.0000	0.2528	743.0000
10	0.3591	0.4719	0.3591	0.8176	0.0677	0.6334	36.2105	0.3324	690.0000	196.0000	0.2841	705.0000
11	0.3883	0.4709	0.3511	0.8056	0.0701	0.6412	36.1579	0.3176	719.0000	199.0000	0.2768	734.0000
12	0.3781	0.4714	0.3524	0.8046	0.0675	0.6447	36.0000	0.3239	675.0000	189.0000	0.2800	691.0000
13	0.3787	0.4658	0.3546	0.8190	0.0669	0.6254	36.2632	0.3255	682.0000	188.0000	0.2757	703.0000
14	0.3682	0.4682	0.3461	0.7968	0.0709	0.6489	35.6842	0.3023	705.0000	189.0000	0.2681	719.0000
15	0.4004	0.4686	0.3496	0.8137	0.0675	0.6560	36.1053	0.2954	702.0000	186.0000	0.2650	725.0000
16	0.3813	0.4640	0.3394	0.8060	0.0652	0.6373	35.9474	0.3297	660.0000	189.0000	0.2864	679.0000
17	0.3725	0.4730	0.3639	0.8159	0.0708	0.6471	35.8421	0.3049	677.0000	192.0000	0.2836	694.0000
18	0.3801	0.4686	0.3449	0.8224	0.0679	0.6399	35.8947	0.3346	681.0000	187.0000	0.2746	704.0000
19	0.3857	0.4677	0.3566	0.8216	0.0682	0.6560	35.8421	0.3014	661.0000	182.0000	0.2753	679.0000
20	0.3899	0.4663	0.3520	0.8284	0.0670	0.6555	36.1579	0.3075	702.0000	187.0000	0.2664	721.0000
21	0.3839	0.4670	0.3591	0.8066	0.0681	0.6490	35.7368	0.3019	677.0000	188.0000	0.2777	695.0000
22	0.3794	0.4700	0.3487	0.8060	0.0691	0.6512	36.0526	0.3068	697.0000	189.0000	0.2712	719.0000
23	0.4068	0.4709	0.3562	0.8066	0.0680	0.6504	36.1053	0.3090	658.0000	185.0000	0.2812	679.0000
24	0.4018	0.4735	0.3582	0.8100	0.0690	0.6584	36.0000	0.2978	713.0000	191.0000	0.2679	725.0000
25	0.4095	0.4684	0.3326	0.8201	0.0640	0.6404	36.0000	0.3312	688.0000	190.0000	0.2762	710.0000
26	0.4026	0.4642	0.3492	0.8154	0.0681	0.6532	36.2632	0.2990	689.0000	184.0000	0.2671	707.0000
27	0.3801	0.4661	0.3516	0.8005	0.0676	0.6454	36.1579	0.3135	695.0000	192.0000	0.2763	716.0000
28	0.3916	0.4693	0.3555	0.8128	0.0692	0.6522	36.1579	0.3042	708.0000	186.0000	0.2627	727.0000
29	0.4009	0.4654	0.3491	0.8223	0.0643	0.6444	35.8947	0.3121	666.0000	184.0000	0.2763	685.0000
30	0.3628	0.4705	0.3639	0.8111	0.0694	0.6397	36.1053	0.3139	696.0000	195.0000	0.2802	720.0000
31	0.4019	0.4684	0.3617	0.8291	0.0681	0.6403	36.0526	0.3204	686.0000	191.0000	0.2784	699.0000
32	0.3814	0.4644	0.3425	0.8045	0.0667	0.6461	35.8947	0.3074	700.0000	190.0000	0.2714	710.0000
33	0.4142	0.4644	0.3511	0.8116	0.0666	0.6563	36.0526	0.2981	679.0000	185.0000	0.2725	697.0000
34	0.4007	0.4689	0.3486	0.8067	0.0677	0.6508	36.0000	0.3099	696.0000	188.0000	0.2701	713.0000
35	0.3895	0.4709	0.3516	0.8009	0.0680	0.6396	36.2105	0.3123	714.0000	194.0000	0.2717	736.0000
36	0.3693	0.4663	0.3410	0.7997	0.0691	0.6662	35.6316	0.2880	717.0000	178.0000	0.2483	735.0000
37	0.4207	0.4654	0.3472	0.8121	0.0661	0.6519	36.0000	0.3036	698.0000	185.0000	0.2650	715.0000
38	0.3958	0.4740	0.3587	0.8202	0.0700	0.6495	36.1053	0.3123	735.0000	189.0000	0.2571	749.0000
39	0.3922	0.4677	0.3484	0.8168	0.0683	0.6491	35.9474	0.3138	717.0000	186.0000	0.2594	740.0000
40	0.4020	0.4712	0.3491	0.8016	0.0675	0.6400	36.0000	0.3023	688.0000	199.0000	0.2892	706.0000
41	0.4017	0.4672	0.3539	0.8169	0.0681	0.6604	35.5789	0.3067	683.0000	183.0000	0.2679	700.0000
42	0.4025	0.4707	0.3539	0.8066	0.0709	0.6449	35.9474	0.3087	678.0000	181.0000	0.2670	694.0000
43	0.3887	0.4642	0.3526	0.8069	0.0684	0.6538	36.2105	0.3087	661.0000	174.0000	0.2632	682.0000
44	0.3614	0.4712	0.3568	0.7914	0.0691	0.6429	35.9474	0.3148	723.0000	200.0000	0.2766	741.0000
45	0.3791	0.4689	0.3456	0.8057	0.0669	0.6510	35.9474	0.3019	667.0000	185.0000	0.2774	679.0000
46	0.3700	0.4686	0.3589	0.8169	0.0695	0.6447	35.9474	0.3199	722.0000	187.0000	0.2590	750.0000
47	0.3945	0.4742	0.3555	0.7938	0.0684	0.6461	36.2632	0.3165	685.0000	199.0000	0.2905	699.0000
48	0.3911	0.4689	0.3548	0.8085	0.0684	0.6373	35.8947	0.3284	679.0000	194.0000	0.2857	703.0000
49	0.3786	0.4695	0.3574	0.8079	0.0713	0.6507	36.1053	0.3037	700.0000	185.0000	0.2643	713.0000
50	0.3939	0.4702	0.3589	0.7982	0.0695	0.6528	35.8947	0.2982	676.0000	192.0000	0.2840	697.0000
51	0.3667	0.4616	0.3323	0.8117	0.0676	0.6273	35.8947	0.3410	674.0000	186.0000	0.2760	697.0000
52	0.3839	0.4675	0.3569	0.8181	0.0688	0.6537	35.8947	0.3005	696.0000	182.0000	0.2615	709.0000
53	0.4067	0.4679	0.3476	0.8076	0.0669	0.6465	36.5263	0.2990	696.0000	187.0000	0.2687	717.0000
54	0.3847	0.4716	0.3609	0.8183	0.0711	0.6464	36.2105	0.3152	720.0000	189.0000	0.2625	739.0000
55	0.3841	0.4698	0.3488	0.8088	0.0709	0.6451	36.4211	0.3152	722.0000	190.0000	0.2632	744.0000
56	0.4056	0.4686	0.3557	0.8185	0.0698	0.6430	36.0526	0.3110	670.0000	186.0000	0.2776	691.0000
57	0.3868	0.4777	0.3625	0.8278	0.0704	0.6423	35.8947	0.3196	705.0000	188.0000	0.2667	724.0000
58	0.3911	0.4675	0.3487	0.8241	0.0660	0.6385	35.9474	0.3223	650.0000	182.0000	0.2800	664.0000
59	0.4022	0.4719	0.3598	0.8075	0.0690	0.6651	36.2632	0.2936	674.0000	184.0000	0.2730	693.0000
60	0.3636	0.4665	0.3506	0.8244	0.0673	0.6399	36.1579	0.3237	667.0000	188.0000	0.2819	682.0000
61	0.3897	0.4661	0.3512	0.8203	0.0687	0.6298	36.1053	0.3304	649.0000	187.0000	0.2881	664.0000
62	0.3813	0.4772	0.3666	0.8019	0.0709	0.6601	36.2105	0.2967	730.0000	187.0000	0.2562	757.0000
63	0.3745	0.4675	0.3506	0.8172	0.0694	0.6441	36.1053	0.3108	669.0000	183.0000	0.2735	690.0000
64	0.3788	0.4684	0.3538	0.7929	0.0680	0.6329	35.8947	0.3196	703.0000	196.0000	0.2788	721.0000
65	0.3784	0.4658	0.3621	0.8131	0.0688	0.6469	36.0526	0.3116	712.0000	194.0000	0.2725	732.0000
66	0.3752	0.4661	0.3448	0.8121	0.0663	0.6470	36.0000	0.3195	677.0000	188.0000	0.2777	697.0000
67	0.3859	0.4677	0.3534	0.8060	0.0685	0.6422	36.0526	0.3166	683.0000	194.0000	0.2840	694.0000
68	0.3913	0.4670	0.3465	0.8154	0.0690	0.6602	36.0526	0.3092	677.0000	181.0000	0.2674	693.0000
