accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.6417	0.2990	0.6408	2.8491	0.1293	0.8211	32.9286	0.0953	3.5846	365.0000	0.1561	2340.0000	0.7800	4897.0000	6278.0000	0.9722	0.8071
2	0.6455	0.3004	0.6390	2.8285	0.1295	0.8340	32.6429	0.0840	3.5246	365.0000	0.1520	2403.0000	0.7940	4985.0000	6278.0000	0.9742	0.8079
3	0.6353	0.2975	0.6465	2.8782	0.1256	0.8157	32.8571	0.0993	3.4874	371.0000	0.1528	2430.0000	0.8147	5115.0000	6278.0000	0.9716	0.7978
4	0.6384	0.2972	0.6418	2.9026	0.1253	0.8177	32.5714	0.0988	3.5284	377.0000	0.1585	2381.0000	0.7968	5002.0000	6278.0000	0.9685	0.8035
5	0.6419	0.2975	0.6399	2.8549	0.1232	0.8242	32.6429	0.0922	3.5156	368.0000	0.1544	2385.0000	0.7952	4992.0000	6278.0000	0.9727	0.8101
6	0.6438	0.2967	0.6379	2.9559	0.1251	0.8281	32.9286	0.0862	3.4813	369.0000	0.1537	2403.0000	0.8058	5059.0000	6278.0000	0.9721	0.8033
7	0.6420	0.2991	0.6409	2.9115	0.1258	0.8216	32.7143	0.0921	3.5400	369.0000	0.1549	2384.0000	0.7940	4985.0000	6278.0000	0.9744	0.8035
8	0.6353	0.2977	0.6417	2.9775	0.1237	0.8270	32.7857	0.0888	3.4828	368.0000	0.1535	2400.0000	0.8060	5060.0000	6278.0000	0.9683	0.8038
9	0.6467	0.2978	0.6396	2.8323	0.1248	0.8227	32.5714	0.0923	3.5063	370.0000	0.1541	2403.0000	0.8020	5035.0000	6278.0000	0.9750	0.8043
10	0.6495	0.3001	0.6371	2.8251	0.1247	0.8247	32.8571	0.0956	3.5742	378.0000	0.1606	2356.0000	0.7845	4925.0000	6278.0000	0.9716	0.8100
11	0.6560	0.2975	0.6370	2.8316	0.1288	0.8359	32.8571	0.0821	3.5043	348.0000	0.1466	2376.0000	0.7975	5007.0000	6278.0000	0.9785	0.8108
12	0.6371	0.2971	0.6431	2.8551	0.1237	0.8273	32.5714	0.0888	3.4522	365.0000	0.1508	2422.0000	0.8183	5137.0000	6278.0000	0.9703	0.7969
13	0.6417	0.2977	0.6402	2.8203	0.1263	0.8281	32.6429	0.0879	3.4769	366.0000	0.1528	2399.0000	0.8057	5058.0000	6278.0000	0.9750	0.8084
14	0.6451	0.2981	0.6409	2.9229	0.1248	0.8290	32.5714	0.0875	3.4934	363.0000	0.1514	2399.0000	0.8071	5067.0000	6278.0000	0.9729	0.8042
15	0.6470	0.2973	0.6388	2.8940	0.1235	0.8233	32.4286	0.0907	3.5154	372.0000	0.1560	2387.0000	0.7931	4979.0000	6278.0000	0.9715	0.8001
16	0.6455	0.2984	0.6427	2.7466	0.1244	0.8296	32.7143	0.0852	3.4771	363.0000	0.1507	2411.0000	0.8109	5091.0000	6278.0000	0.9735	0.8019
17	0.6421	0.2967	0.6500	2.7259	0.1243	0.8261	32.7857	0.0882	3.4816	359.0000	0.1474	2437.0000	0.8124	5100.0000	6278.0000	0.9795	0.8053
18	0.6441	0.2992	0.6411	2.9577	0.1239	0.8209	32.6429	0.0912	3.4848	374.0000	0.1554	2409.0000	0.8122	5099.0000	6278.0000	0.9709	0.8007
19	0.6457	0.2994	0.6425	2.9566	0.1253	0.8286	32.5714	0.0844	3.5235	362.0000	0.1513	2394.0000	0.7999	5022.0000	6278.0000	0.9741	0.8018
20	0.6339	0.2976	0.6546	2.9697	0.1246	0.8229	32.7857	0.0933	3.4404	370.0000	0.1518	2439.0000	0.8240	5173.0000	6278.0000	0.9750	0.8064
21	0.6403	0.2970	0.6419	3.0042	0.1249	0.8255	32.5000	0.0921	3.5029	377.0000	0.1590	2373.0000	0.7982	5011.0000	6278.0000	0.9680	0.8033
22	0.6395	0.2965	0.6344	2.9251	0.1252	0.8196	32.7857	0.0963	3.5397	373.0000	0.1598	2336.0000	0.7818	4908.0000	6278.0000	0.9670	0.8005
23	0.6371	0.2994	0.6397	2.7292	0.1249	0.8223	32.7143	0.0930	3.5517	370.0000	0.1550	2389.0000	0.7928	4977.0000	6278.0000	0.9724	0.8048
24	0.6427	0.2992	0.6411	2.9266	0.1281	0.8210	33.0000	0.0921	3.5294	379.0000	0.1573	2412.0000	0.7924	4975.0000	6278.0000	0.9677	0.8042
25	0.6395	0.2984	0.6425	2.9882	0.1260	0.8244	32.7143	0.0903	3.4462	375.0000	0.1532	2450.0000	0.8249	5179.0000	6278.0000	0.9694	0.8018
26	0.6488	0.2972	0.6402	2.9083	0.1232	0.8299	33.1429	0.0881	3.4639	369.0000	0.1525	2422.0000	0.8117	5096.0000	6278.0000	0.9703	0.8050
27	0.6461	0.2963	0.6365	2.9477	0.1215	0.8227	32.7857	0.0916	3.4850	377.0000	0.1566	2409.0000	0.8020	5035.0000	6278.0000	0.9693	0.7944
28	0.6488	0.2976	0.6349	2.9079	0.1260	0.8286	32.6429	0.0868	3.5575	360.0000	0.1522	2367.0000	0.7819	4909.0000	6278.0000	0.9772	0.7982
29	0.6408	0.2973	0.6469	2.8708	0.1244	0.8186	32.7857	0.0976	3.4680	379.0000	0.1565	2423.0000	0.8195	5145.0000	6278.0000	0.9695	0.8000
30	0.6437	0.2970	0.6455	2.9464	0.1226	0.8253	33.1429	0.0887	3.4456	365.0000	0.1495	2444.0000	0.8243	5175.0000	6278.0000	0.9738	0.7992
31	0.6421	0.2996	0.6498	2.9449	0.1267	0.8189	32.3571	0.0960	3.5220	384.0000	0.1579	2434.0000	0.8104	5088.0000	6278.0000	0.9688	0.7991
32	0.6453	0.2997	0.6461	2.9266	0.1255	0.8261	32.7143	0.0873	3.5219	371.0000	0.1549	2397.0000	0.8030	5041.0000	6278.0000	0.9737	0.8023
33	0.6398	0.2992	0.6454	3.0254	0.1235	0.8185	32.9286	0.0924	3.4669	377.0000	0.1547	2439.0000	0.8219	5160.0000	6278.0000	0.9725	0.7945
34	0.6561	0.2972	0.6352	2.8888	0.1281	0.8299	32.7857	0.0845	3.5088	362.0000	0.1537	2357.0000	0.7858	4933.0000	6278.0000	0.9741	0.8059
35	0.6375	0.2992	0.6484	2.9358	0.1265	0.8228	32.9286	0.0911	3.5339	377.0000	0.1573	2399.0000	0.7932	4980.0000	6278.0000	0.9750	0.8049
