accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.6305	0.5458	0.5801	3.0822	0.1002	0.7539	35.7000	0.1655	4.0375	269.0000	0.2415	1119.0000	0.8346	747.0000	895.0000	0.9205	0.8094
2	0.6216	0.5463	0.5840	2.8615	0.1002	0.7746	36.0000	0.1508	4.1651	251.0000	0.2249	1119.0000	0.8190	733.0000	895.0000	0.9267	0.8205
3	0.6136	0.5443	0.5693	2.9272	0.0883	0.7636	35.6000	0.1508	4.1034	254.0000	0.2260	1126.0000	0.8101	725.0000	895.0000	0.9369	0.8014
4	0.6173	0.5448	0.5806	3.0374	0.0946	0.7742	35.8000	0.1441	3.9582	263.0000	0.2240	1177.0000	0.8559	766.0000	895.0000	0.9431	0.8153
5	0.6080	0.5448	0.5701	3.0252	0.0923	0.7559	36.4000	0.1655	4.0970	266.0000	0.2399	1113.0000	0.8179	732.0000	895.0000	0.9317	0.8225
6	0.6257	0.5468	0.5755	3.1414	0.0887	0.7623	36.5000	0.1338	4.0174	263.0000	0.2291	1153.0000	0.8369	749.0000	895.0000	0.9332	0.7981
7	0.6299	0.5458	0.5894	3.0257	0.1011	0.7741	36.1000	0.1511	4.0987	260.0000	0.2255	1167.0000	0.8603	770.0000	895.0000	0.9374	0.8149
8	0.6103	0.5473	0.5893	3.1682	0.0938	0.7709	36.3000	0.1427	4.0335	258.0000	0.2194	1183.0000	0.8682	777.0000	895.0000	0.9400	0.8028
9	0.6133	0.5458	0.5871	3.1848	0.0947	0.7752	36.3000	0.1401	4.0473	263.0000	0.2256	1169.0000	0.8503	761.0000	895.0000	0.9281	0.8140
10	0.6198	0.5463	0.5913	2.8579	0.1016	0.7748	36.6000	0.1392	4.1057	257.0000	0.2237	1154.0000	0.8458	757.0000	895.0000	0.9350	0.8179
11	0.6082	0.5458	0.5859	3.0026	0.1013	0.7809	36.3000	0.1478	4.0523	252.0000	0.2178	1161.0000	0.8547	765.0000	895.0000	0.9449	0.8139
12	0.6144	0.5443	0.5890	2.7662	0.0960	0.7789	36.5000	0.1479	4.1250	255.0000	0.2231	1155.0000	0.8581	768.0000	895.0000	0.9437	0.8249
13	0.6145	0.5448	0.5816	2.9403	0.0950	0.7629	35.7000	0.1650	4.0986	269.0000	0.2413	1122.0000	0.8268	740.0000	895.0000	0.9323	0.8170
14	0.6288	0.5458	0.5798	2.8382	0.0913	0.7702	36.6000	0.1458	4.0642	261.0000	0.2371	1106.0000	0.8179	732.0000	895.0000	0.9331	0.8234
15	0.6318	0.5463	0.5762	3.1464	0.1000	0.7858	36.9000	0.1273	4.0079	258.0000	0.2245	1154.0000	0.8514	762.0000	895.0000	0.9341	0.8151
16	0.6142	0.5468	0.5834	3.2736	0.0922	0.7559	36.8000	0.1524	3.9168	255.0000	0.2167	1184.0000	0.8726	781.0000	895.0000	0.9316	0.7999
17	0.6340	0.5453	0.5777	2.9379	0.1016	0.7690	36.5000	0.1460	4.0618	247.0000	0.2192	1131.0000	0.8492	760.0000	895.0000	0.9346	0.8155
18	0.6269	0.5458	0.5868	3.1621	0.1016	0.7576	36.4000	0.1536	4.0590	266.0000	0.2301	1160.0000	0.8525	763.0000	895.0000	0.9241	0.8065
19	0.6329	0.5443	0.5802	3.0644	0.0956	0.7655	36.5000	0.1487	4.0798	274.0000	0.2340	1180.0000	0.8402	752.0000	895.0000	0.9347	0.8069
20	0.6306	0.5468	0.5791	3.2044	0.1024	0.7647	36.1000	0.1475	4.1543	259.0000	0.2282	1139.0000	0.8257	739.0000	895.0000	0.9324	0.8109
21	0.6280	0.5463	0.5775	3.0308	0.1060	0.7666	35.4000	0.1468	4.0792	265.0000	0.2208	1204.0000	0.8324	745.0000	895.0000	0.9336	0.7991
22	0.6502	0.5463	0.5812	2.8466	0.0895	0.7713	35.9000	0.1328	4.1184	260.0000	0.2324	1121.0000	0.8302	743.0000	895.0000	0.9313	0.8238
23	0.6322	0.5468	0.5781	2.7841	0.0917	0.7740	35.7000	0.1464	4.0536	246.0000	0.2276	1083.0000	0.8335	746.0000	895.0000	0.9418	0.8202
24	0.6022	0.5448	0.5882	2.9520	0.0931	0.7723	36.2000	0.1470	4.1181	251.0000	0.2188	1151.0000	0.8324	745.0000	895.0000	0.9435	0.8215
25	0.6251	0.5458	0.5947	2.9367	0.1091	0.7726	35.6000	0.1400	4.1230	260.0000	0.2261	1153.0000	0.8447	756.0000	895.0000	0.9393	0.8184
