accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.5214	0.3182	0.3423	0.7840	0.0318	0.7057	32.8000	0.2165	593.0000	144.0000	0.2428	624.0000
2	0.5201	0.3177	0.3419	0.7663	0.0313	0.7118	32.4000	0.2257	641.0000	152.0000	0.2371	676.0000
3	0.4790	0.3182	0.3370	0.7689	0.0249	0.7058	32.9000	0.2135	629.0000	151.0000	0.2401	660.0000
4	0.5466	0.3182	0.3183	0.8013	0.0262	0.7218	32.7000	0.2045	611.0000	140.0000	0.2291	646.0000
5	0.5109	0.3207	0.3196	0.7974	0.0285	0.6989	33.4000	0.2467	658.0000	150.0000	0.2280	674.0000
6	0.5286	0.3182	0.3453	0.7827	0.0279	0.7297	32.8000	0.1945	695.0000	148.0000	0.2129	700.0000
7	0.5039	0.3172	0.3403	0.7790	0.0265	0.7125	32.1000	0.2148	650.0000	148.0000	0.2277	680.0000
8	0.5100	0.3182	0.3291	0.7758	0.0261	0.7105	33.5000	0.2105	620.0000	149.0000	0.2403	663.0000
9	0.5393	0.3177	0.3229	0.7719	0.0304	0.7272	33.4000	0.2035	641.0000	143.0000	0.2231	678.0000
10	0.5126	0.3202	0.3278	0.7782	0.0295	0.7201	33.4000	0.2079	635.0000	148.0000	0.2331	673.0000
11	0.4870	0.3177	0.3281	0.7889	0.0291	0.7006	33.7000	0.2328	630.0000	139.0000	0.2206	649.0000
12	0.5025	0.3192	0.3224	0.7751	0.0267	0.7178	32.6000	0.2035	664.0000	152.0000	0.2289	687.0000
13	0.5085	0.3197	0.3369	0.7813	0.0287	0.7227	32.8000	0.1941	622.0000	145.0000	0.2331	656.0000
14	0.5115	0.3197	0.3532	0.7547	0.0279	0.7240	32.3000	0.1925	654.0000	146.0000	0.2232	684.0000
15	0.5244	0.3187	0.3328	0.7820	0.0272	0.7270	32.5000	0.1913	624.0000	140.0000	0.2244	653.0000
16	0.5139	0.3187	0.3274	0.7692	0.0276	0.7238	32.4000	0.2014	643.0000	143.0000	0.2224	670.0000
17	0.5442	0.3187	0.3433	0.7965	0.0284	0.7492	33.0000	0.1871	629.0000	134.0000	0.2130	655.0000
18	0.5293	0.3177	0.3231	0.7697	0.0345	0.7414	32.7000	0.1937	666.0000	143.0000	0.2147	700.0000
19	0.4842	0.3177	0.3513	0.7742	0.0283	0.7166	33.0000	0.2030	644.0000	143.0000	0.2220	667.0000
20	0.5308	0.3182	0.3139	0.7598	0.0259	0.7068	31.4000	0.2074	610.0000	149.0000	0.2443	651.0000
21	0.5224	0.3187	0.3253	0.7870	0.0274	0.7294	33.3000	0.1945	617.0000	141.0000	0.2285	634.0000
22	0.5500	0.3182	0.3389	0.7698	0.0317	0.7372	32.2000	0.2050	650.0000	139.0000	0.2138	677.0000
23	0.5265	0.3172	0.3273	0.7876	0.0265	0.7511	32.3000	0.1810	641.0000	135.0000	0.2106	670.0000
24	0.5139	0.3192	0.3282	0.7955	0.0257	0.7187	32.6000	0.2160	606.0000	136.0000	0.2244	624.0000
25	0.5399	0.3182	0.3424	0.7922	0.0309	0.7219	32.8000	0.2001	661.0000	142.0000	0.2148	691.0000
26	0.5281	0.3182	0.3426	0.7881	0.0290	0.7151	33.2000	0.2263	593.0000	142.0000	0.2395	622.0000
27	0.5076	0.3177	0.3434	0.7780	0.0298	0.7372	33.4000	0.2061	664.0000	153.0000	0.2304	711.0000
28	0.5034	0.3182	0.3325	0.7672	0.0301	0.6987	32.5000	0.2254	682.0000	157.0000	0.2302	686.0000
29	0.4982	0.3192	0.3431	0.7752	0.0292	0.7246	32.8000	0.2005	628.0000	134.0000	0.2134	663.0000
30	0.5050	0.3187	0.3435	0.7761	0.0285	0.7138	33.5000	0.1930	700.0000	158.0000	0.2257	704.0000
31	0.5375	0.3177	0.3428	0.7831	0.0311	0.7271	32.5000	0.2030	624.0000	138.0000	0.2212	667.0000
32	0.5150	0.3182	0.3445	0.7911	0.0279	0.7200	32.6000	0.1914	699.0000	143.0000	0.2046	703.0000
33	0.5154	0.3187	0.3357	0.7740	0.0269	0.7335	33.4000	0.1917	615.0000	143.0000	0.2325	632.0000
34	0.5104	0.3192	0.3409	0.7738	0.0296	0.7277	32.3000	0.2008	666.0000	146.0000	0.2192	695.0000
35	0.5343	0.3177	0.3385	0.7957	0.0304	0.7325	32.1000	0.2041	633.0000	137.0000	0.2164	667.0000
