run	doculect	accuracy	purity	words	sounds
1	Amami	0.4618640183346065	0.7509025794048799	95	41
1	Hachijō	0.6836180336180337	0.7950005825336918	119	36
1	Kagoshima	0.48944826926754637	0.7670947802005298	105	37
1	Kyōto	0.6480607468412346	0.7451326206382606	103	34
1	Kōchi	0.7201918343094815	0.7786867431972491	106	32
1	Miyako	0.39390618200142	0.7273643016859922	111	42
1	Oki	0.6316982214572575	0.7822982344327879	107	33
1	Sado	0.7252619146454763	0.7864884195393844	118	33
1	Shuri	0.430561854371378	0.7585633923863383	114	37
1	Tōkyō	0.7058111232810028	0.7792120062533507	107	33
2	Amami	0.4530112044817927	0.7629361857086806	108	41
2	Hachijō	0.6047322909263209	0.7745545488275426	122	38
2	Kagoshima	0.4975352112676056	0.7312174589682418	113	35
2	Kyōto	0.6666720291720292	0.7397636775755706	106	34
2	Kōchi	0.6951998470070757	0.745665282445234	108	32
2	Miyako	0.4074368018812463	0.7168467155458305	119	46
2	Oki	0.6362627902400629	0.7570515842110371	100	32
2	Sado	0.7449917898193759	0.786031216756974	101	33
2	Shuri	0.5239171374764596	0.734872528538514	117	37
2	Tōkyō	0.7292420962875508	0.7595878301255465	91	32
3	Amami	0.46853829649882267	0.7521528358290391	105	40
3	Hachijō	0.653968253968254	0.7533242628901577	115	35
3	Kagoshima	0.4412972085385877	0.7755235406124452	103	37
3	Kyōto	0.7129915741984707	0.7948145998512156	96	36
3	Kōchi	0.7144666199813257	0.8062919559903715	119	29
3	Miyako	0.44947041847041846	0.7501330506396816	127	44
3	Oki	0.6238414363414364	0.7652532349934176	107	32
3	Sado	0.6729231086373945	0.7652983175494725	105	32
3	Shuri	0.49772093522093525	0.7513258238391866	103	35
3	Tōkyō	0.660920125626008	0.7394677311361196	100	34
4	Amami	0.5015995115995118	0.7644952452709275	113	42
4	Hachijō	0.68234126984127	0.7505115170034157	112	34
4	Kagoshima	0.48827475434618284	0.7687361113848172	101	38
4	Kyōto	0.7303461199294532	0.7657656399619758	111	32
4	Kōchi	0.6985035379613692	0.7741218781479574	102	32
4	Miyako	0.45200332821300554	0.753096836349998	112	47
4	Oki	0.647093134442532	0.7409177990826513	104	32
4	Sado	0.7412589693411612	0.7856413297577357	116	33
4	Shuri	0.41540912139503683	0.7382343983587307	108	35
4	Tōkyō	0.7117846700083541	0.7707498770121594	107	33
5	Amami	0.5162878787878789	0.7493077616425999	111	42
5	Hachijō	0.6991071428571427	0.7438367158429088	125	36
5	Kagoshima	0.5322802197802198	0.7902060376500593	109	36
5	Kyōto	0.7554715219421103	0.8018500890308286	95	33
5	Kōchi	0.6819345365120013	0.7643416286449445	112	30
5	Miyako	0.46741304672339146	0.7442660578628024	114	44
