accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.7868	0.6568	0.3514	0.7138	0.2186	0.8566	17.2000	0.0862	1151.0000	123.0000	0.1069	1173.0000
2	0.8059	0.6432	0.3569	0.7415	0.2038	0.8777	16.9000	0.0646	954.0000	103.0000	0.1080	987.0000
3	0.8305	0.6308	0.3590	0.7564	0.2021	0.8724	17.2000	0.0738	929.0000	97.0000	0.1044	963.0000
4	0.8310	0.6205	0.3567	0.7751	0.1853	0.8889	17.0000	0.0668	879.0000	89.0000	0.1013	900.0000
5	0.8303	0.6193	0.3469	0.7695	0.1628	0.8853	17.1000	0.0652	876.0000	88.0000	0.1005	880.0000
6	0.8292	0.6123	0.3454	0.7621	0.1601	0.8759	17.0000	0.0827	823.0000	93.0000	0.1130	844.0000
7	0.8316	0.6197	0.3596	0.7755	0.1866	0.8953	16.9000	0.0673	847.0000	85.0000	0.1004	857.0000
8	0.8335	0.6164	0.3509	0.7725	0.1824	0.8994	17.0000	0.0779	892.0000	78.0000	0.0874	919.0000
9	0.8449	0.6127	0.3442	0.7759	0.1713	0.8833	16.9000	0.0656	855.0000	85.0000	0.0994	872.0000
10	0.8272	0.6197	0.3610	0.7474	0.1814	0.8802	17.1000	0.0872	876.0000	93.0000	0.1062	915.0000
11	0.8384	0.6119	0.3442	0.7460	0.1664	0.8827	16.9000	0.0659	812.0000	86.0000	0.1059	827.0000
12	0.8244	0.6143	0.3522	0.7549	0.1833	0.8846	17.0000	0.0641	885.0000	91.0000	0.1028	925.0000
13	0.8308	0.6168	0.3557	0.7615	0.1720	0.8880	16.9000	0.0762	883.0000	87.0000	0.0985	890.0000
14	0.8533	0.6131	0.3562	0.7442	0.1744	0.8935	16.9000	0.0508	855.0000	88.0000	0.1029	864.0000
15	0.8275	0.6143	0.3560	0.7656	0.1584	0.8962	17.0000	0.0700	822.0000	77.0000	0.0937	842.0000
16	0.8472	0.6180	0.3582	0.7394	0.1777	0.8831	17.0000	0.0662	857.0000	87.0000	0.1015	878.0000
17	0.8411	0.6127	0.3536	0.7516	0.1693	0.8894	17.2000	0.0565	872.0000	85.0000	0.0975	887.0000
18	0.8222	0.6197	0.3542	0.7784	0.1805	0.8974	17.0000	0.0675	841.0000	83.0000	0.0987	859.0000
19	0.8198	0.6094	0.3442	0.7472	0.1642	0.8756	17.0000	0.0870	848.0000	96.0000	0.1132	854.0000
20	0.8154	0.6139	0.3446	0.7780	0.1598	0.8802	16.8000	0.0750	807.0000	84.0000	0.1041	812.0000
21	0.8462	0.6077	0.3382	0.7735	0.1738	0.8731	16.8000	0.0740	850.0000	97.0000	0.1141	870.0000
22	0.8199	0.6131	0.3465	0.7987	0.1679	0.8787	16.9000	0.0998	787.0000	85.0000	0.1080	816.0000
23	0.8256	0.6139	0.3574	0.7620	0.1736	0.8975	17.1000	0.0537	859.0000	78.0000	0.0908	880.0000
24	0.8414	0.6143	0.3522	0.7770	0.1749	0.8928	16.9000	0.0676	820.0000	83.0000	0.1012	842.0000
25	0.8348	0.6115	0.3540	0.7443	0.1706	0.8892	17.0000	0.0643	848.0000	89.0000	0.1050	877.0000
26	0.8276	0.6156	0.3583	0.7410	0.1710	0.8800	17.0000	0.0761	810.0000	89.0000	0.1099	840.0000
27	0.8259	0.6172	0.3631	0.7362	0.1753	0.8821	17.1000	0.0790	856.0000	91.0000	0.1063	881.0000
28	0.8349	0.6226	0.3597	0.7402	0.1925	0.8937	17.1000	0.0775	849.0000	85.0000	0.1001	886.0000
29	0.8345	0.6131	0.3572	0.7470	0.1769	0.8979	17.0000	0.0688	842.0000	84.0000	0.0998	858.0000
30	0.8429	0.6185	0.3605	0.7750	0.1814	0.8895	17.0000	0.0664	875.0000	86.0000	0.0983	901.0000
31	0.8214	0.6156	0.3468	0.7617	0.1524	0.9030	17.0000	0.0555	871.0000	78.0000	0.0896	875.0000
32	0.8478	0.6152	0.3634	0.7787	0.1943	0.8975	17.1000	0.0665	841.0000	78.0000	0.0927	873.0000
33	0.8205	0.6172	0.3511	0.7850	0.1695	0.8753	17.0000	0.0806	787.0000	83.0000	0.1055	794.0000
34	0.8192	0.6160	0.3569	0.7684	0.1856	0.8885	17.1000	0.0674	856.0000	82.0000	0.0958	890.0000
35	0.8441	0.6209	0.3595	0.7187	0.1590	0.8793	17.0000	0.0539	819.0000	92.0000	0.1123	842.0000
36	0.8301	0.6123	0.3475	0.7672	0.1770	0.8849	16.9000	0.0765	815.0000	85.0000	0.1043	853.0000
37	0.8377	0.6156	0.3584	0.7568	0.1873	0.8872	17.0000	0.0720	866.0000	89.0000	0.1028	890.0000
38	0.8386	0.6218	0.3596	0.7528	0.1797	0.9012	17.0000	0.0615	831.0000	82.0000	0.0987	869.0000
