accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	ubound	clusters	props	patterns
1	0.7639	0.6539	0.3501	0.6726	0.2124	0.8638	17.1000	0.0758	1127.0000	135.0000	0.1198	1142.0000
2	0.7934	0.6300	0.3487	0.6963	0.1922	0.8749	17.0000	0.0703	998.0000	114.0000	0.1142	1019.0000
3	0.8112	0.6333	0.3610	0.7262	0.1975	0.8749	17.1000	0.0821	961.0000	105.0000	0.1093	988.0000
4	0.8016	0.6172	0.3479	0.7279	0.1809	0.8817	17.0000	0.0772	878.0000	99.0000	0.1128	900.0000
5	0.8211	0.6073	0.3431	0.7140	0.1795	0.8856	17.0000	0.0739	842.0000	93.0000	0.1105	872.0000
6	0.8015	0.6139	0.3591	0.7643	0.1838	0.8914	17.1000	0.0774	893.0000	89.0000	0.0997	911.0000
7	0.8232	0.6209	0.3609	0.7526	0.1830	0.8862	16.9000	0.0691	872.0000	93.0000	0.1067	878.0000
8	0.8067	0.6077	0.3455	0.7437	0.1852	0.8790	17.1000	0.0729	827.0000	92.0000	0.1112	845.0000
9	0.8240	0.6197	0.3584	0.7148	0.1854	0.8851	17.0000	0.0759	875.0000	92.0000	0.1051	891.0000
10	0.8307	0.6119	0.3527	0.7384	0.1805	0.8873	17.1000	0.0721	825.0000	91.0000	0.1103	841.0000
11	0.8257	0.6119	0.3470	0.7304	0.1762	0.8884	17.1000	0.0782	852.0000	92.0000	0.1080	871.0000
12	0.8166	0.6185	0.3580	0.7145	0.1799	0.8855	16.9000	0.0851	804.0000	91.0000	0.1132	828.0000
13	0.8214	0.6098	0.3552	0.7321	0.1829	0.8857	17.1000	0.0798	864.0000	91.0000	0.1053	887.0000
14	0.8476	0.6152	0.3575	0.7679	0.1878	0.9018	17.0000	0.0617	832.0000	82.0000	0.0986	887.0000
15	0.8295	0.6152	0.3601	0.7223	0.1879	0.8912	17.0000	0.0703	879.0000	93.0000	0.1058	887.0000
16	0.8205	0.6205	0.3576	0.7344	0.1851	0.8969	16.9000	0.0590	827.0000	84.0000	0.1016	865.0000
17	0.8089	0.6176	0.3594	0.7105	0.1838	0.8939	16.8000	0.0803	860.0000	89.0000	0.1035	899.0000
18	0.8202	0.6226	0.3670	0.7233	0.1929	0.8869	17.1000	0.0658	869.0000	94.0000	0.1082	884.0000
19	0.8395	0.6148	0.3550	0.7136	0.1875	0.8790	16.9000	0.0711	839.0000	96.0000	0.1144	857.0000
20	0.8275	0.6143	0.3520	0.8016	0.1857	0.9000	16.8000	0.0669	838.0000	75.0000	0.0895	853.0000
21	0.8268	0.6077	0.3341	0.7235	0.1752	0.8892	17.0000	0.0636	837.0000	86.0000	0.1027	859.0000
22	0.8260	0.6242	0.3687	0.7430	0.1912	0.8975	16.9000	0.0635	838.0000	85.0000	0.1014	873.0000
23	0.8260	0.6168	0.3508	0.7189	0.1823	0.8856	17.1000	0.0723	839.0000	90.0000	0.1073	852.0000
24	0.8213	0.6098	0.3525	0.7391	0.1826	0.8890	17.0000	0.0622	841.0000	85.0000	0.1011	879.0000
25	0.8339	0.6164	0.3570	0.7461	0.1792	0.8928	16.9000	0.0668	840.0000	89.0000	0.1060	872.0000
26	0.8342	0.6209	0.3640	0.7245	0.1856	0.8993	17.0000	0.0734	863.0000	85.0000	0.0985	884.0000
27	0.7981	0.6119	0.3518	0.7002	0.1835	0.8943	17.0000	0.0743	873.0000	88.0000	0.1008	903.0000
28	0.8265	0.6152	0.3579	0.7518	0.1825	0.8974	16.9000	0.0642	857.0000	81.0000	0.0945	890.0000
29	0.8426	0.6185	0.3591	0.7276	0.1791	0.8895	17.0000	0.0701	850.0000	86.0000	0.1012	877.0000
30	0.8372	0.6143	0.3487	0.7682	0.1858	0.8992	16.9000	0.0674	870.0000	81.0000	0.0931	887.0000
31	0.8448	0.6098	0.3465	0.7401	0.1813	0.8955	16.8000	0.0558	876.0000	82.0000	0.0936	883.0000
32	0.7828	0.6102	0.3533	0.6965	0.1883	0.8867	17.0000	0.0655	876.0000	94.0000	0.1073	891.0000
33	0.8317	0.6201	0.3549	0.7447	0.1844	0.8971	17.0000	0.0730	879.0000	88.0000	0.1001	899.0000
34	0.8280	0.6213	0.3687	0.7418	0.1866	0.8932	17.1000	0.0711	898.0000	85.0000	0.0947	907.0000
35	0.8253	0.6205	0.3584	0.7227	0.1865	0.8891	17.1000	0.0757	820.0000	90.0000	0.1098	861.0000
36	0.8164	0.6131	0.3511	0.7495	0.1786	0.8869	17.0000	0.0804	843.0000	88.0000	0.1044	869.0000
37	0.8150	0.6279	0.3643	0.7185	0.1858	0.8814	17.1000	0.0874	859.0000	97.0000	0.1129	886.0000
38	0.8141	0.6160	0.3622	0.7399	0.1866	0.8999	17.0000	0.0610	836.0000	83.0000	0.0993	842.0000
39	0.8474	0.6119	0.3458	0.7524	0.1840	0.9131	17.1000	0.0468	867.0000	75.0000	0.0865	872.0000
40	0.8451	0.6061	0.3493	0.7380	0.1760	0.8924	17.0000	0.0751	829.0000	84.0000	0.1013	854.0000
41	0.8465	0.6110	0.3543	0.7086	0.1782	0.8952	17.0000	0.0648	827.0000	90.0000	0.1088	858.0000
42	0.8387	0.6061	0.3399	0.7477	0.1775	0.8915	17.0000	0.0620	846.0000	82.0000	0.0969	873.0000
43	0.8180	0.6180	0.3547	0.7190	0.1873	0.8875	17.0000	0.0779	887.0000	92.0000	0.1037	903.0000
44	0.8145	0.6077	0.3472	0.7172	0.1808	0.8901	17.0000	0.0645	808.0000	88.0000	0.1089	835.0000
45	0.8322	0.6152	0.3492	0.7512	0.1776	0.9022	16.9000	0.0551	837.0000	83.0000	0.0992	845.0000
46	0.8215	0.6259	0.3590	0.7471	0.1888	0.9002	17.1000	0.0693	886.0000	84.0000	0.0948	905.0000
47	0.8302	0.6152	0.3500	0.7390	0.1814	0.8965	17.0000	0.0637	824.0000	84.0000	0.1019	837.0000
48	0.8222	0.6189	0.3490	0.7340	0.1846	0.8790	17.1000	0.0611	839.0000	94.0000	0.1120	882.0000
49	0.8183	0.6094	0.3479	0.7551	0.1754	0.8802	17.1000	0.0848	798.0000	85.0000	0.1065	844.0000
50	0.7993	0.6176	0.3606	0.7114	0.1838	0.8872	17.0000	0.0771	868.0000	90.0000	0.1037	883.0000
51	0.8319	0.6119	0.3536	0.7046	0.1834	0.8897	17.2000	0.0734	890.0000	96.0000	0.1079	898.0000
52	0.8239	0.6094	0.3486	0.7311	0.1831	0.8877	17.0000	0.0889	850.0000	88.0000	0.1035	884.0000
53	0.8235	0.6164	0.3530	0.7524	0.1811	0.8964	16.9000	0.0688	834.0000	85.0000	0.1019	853.0000
54	0.8093	0.6189	0.3564	0.7218	0.1887	0.8882	17.0000	0.0770	904.0000	99.0000	0.1095	908.0000
55	0.8191	0.6201	0.3582	0.7172	0.1820	0.8923	17.0000	0.0772	876.0000	92.0000	0.1050	884.0000
56	0.8356	0.6086	0.3443	0.7754	0.1797	0.9027	16.9000	0.0650	839.0000	74.0000	0.0882	858.0000
57	0.8246	0.6226	0.3549	0.7072	0.1888	0.8820	17.0000	0.0732	872.0000	94.0000	0.1078	901.0000
58	0.8249	0.6148	0.3513	0.7364	0.1812	0.8927	17.0000	0.0753	839.0000	82.0000	0.0977	876.0000
59	0.8260	0.6160	0.3518	0.7529	0.1866	0.8939	17.1000	0.0652	930.0000	78.0000	0.0839	945.0000
60	0.8277	0.6160	0.3536	0.7269	0.1776	0.8897	17.0000	0.0690	833.0000	89.0000	0.1068	862.0000
61	0.8127	0.6152	0.3531	0.7312	0.1857	0.8925	17.1000	0.0694	866.0000	88.0000	0.1016	870.0000
62	0.8236	0.6131	0.3454	0.7437	0.1783	0.8953	17.0000	0.0636	868.0000	85.0000	0.0979	875.0000
63	0.8276	0.6156	0.3548	0.7435	0.1832	0.8944	17.1000	0.0743	874.0000	89.0000	0.1018	879.0000
64	0.8059	0.6119	0.3573	0.7283	0.1893	0.8881	16.9000	0.0720	871.0000	88.0000	0.1010	891.0000
65	0.8131	0.6127	0.3513	0.7548	0.1810	0.8878	17.0000	0.0703	894.0000	86.0000	0.0962	901.0000
