accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed	regular	purityx
1	0.7359	0.4582	0.1998	2.1966	0.0543	0.8487	17.3000	0.0930	2.9435	66.0000	0.1463	534.0000	0.3855	655.0000	1699.0000	0.9532	0.8109
2	0.8164	0.4450	0.1757	1.8569	0.0493	0.8631	17.0000	0.0853	3.0692	53.0000	0.1318	489.0000	0.3149	535.0000	1699.0000	0.9652	0.8321
3	0.8315	0.4293	0.1776	2.0592	0.0387	0.8724	16.9000	0.0826	2.8199	54.0000	0.1598	422.0000	0.3137	533.0000	1699.0000	0.9408	0.8635
4	0.8030	0.4302	0.1686	2.0677	0.0375	0.8428	16.8000	0.1149	2.7633	57.0000	0.1481	443.0000	0.3108	528.0000	1699.0000	0.9481	0.8408
5	0.7984	0.4289	0.1617	1.7976	0.0405	0.8683	16.9000	0.0929	2.8691	49.0000	0.1357	420.0000	0.3014	512.0000	1699.0000	0.9667	0.8569
6	0.8210	0.4256	0.1796	1.9327	0.0455	0.8584	17.0000	0.0976	2.7194	55.0000	0.1429	446.0000	0.2978	506.0000	1699.0000	0.9439	0.8522
7	0.7971	0.4260	0.1690	1.8763	0.0423	0.8479	16.8000	0.1178	2.9936	45.0000	0.1268	396.0000	0.2772	471.0000	1699.0000	0.9621	0.8417
8	0.7962	0.4285	0.1717	1.8793	0.0437	0.8639	16.9000	0.0883	2.7149	52.0000	0.1361	439.0000	0.2849	484.0000	1699.0000	0.9499	0.8726
9	0.8057	0.4318	0.1708	1.9270	0.0394	0.8665	17.0000	0.1029	2.9593	53.0000	0.1545	411.0000	0.3037	516.0000	1699.0000	0.9367	0.8674
10	0.7958	0.4190	0.1775	1.9565	0.0432	0.8536	17.0000	0.1063	2.8497	58.0000	0.1522	437.0000	0.2819	479.0000	1699.0000	0.9428	0.8479
11	0.7874	0.4240	0.1740	1.7400	0.0376	0.8419	17.0000	0.1117	2.8996	52.0000	0.1481	400.0000	0.2872	488.0000	1699.0000	0.9500	0.8498
12	0.8138	0.4335	0.1964	2.0788	0.0447	0.8553	16.8000	0.0947	2.8470	61.0000	0.1473	482.0000	0.3231	549.0000	1699.0000	0.9440	0.8467
13	0.8282	0.4244	0.1719	1.8979	0.0388	0.8605	16.8000	0.1049	2.7679	52.0000	0.1413	431.0000	0.3043	517.0000	1699.0000	0.9443	0.8695
14	0.8296	0.4289	0.1805	1.9146	0.0476	0.8638	16.8000	0.1055	2.9671	52.0000	0.1327	445.0000	0.2861	486.0000	1699.0000	0.9461	0.8574
15	0.8057	0.4211	0.1822	2.0569	0.0500	0.8715	16.8000	0.1038	2.8640	54.0000	0.1317	457.0000	0.2943	500.0000	1699.0000	0.9540	0.8443
16	0.7775	0.4223	0.1668	1.7785	0.0418	0.8408	17.0000	0.1162	2.7096	52.0000	0.1417	438.0000	0.2878	489.0000	1699.0000	0.9566	0.8427
17	0.8131	0.4260	0.1768	1.9636	0.0418	0.8682	17.0000	0.1010	2.8492	50.0000	0.1389	439.0000	0.3084	524.0000	1699.0000	0.9636	0.8380
18	0.8614	0.4256	0.1713	1.5297	0.0367	0.9045	16.8000	0.0638	2.7647	36.0000	0.1023	404.0000	0.3102	527.0000	1699.0000	0.9802	0.8961
19	0.7894	0.4223	0.1833	1.9195	0.0424	0.8436	16.9000	0.1181	2.7446	55.0000	0.1471	447.0000	0.2972	505.0000	1699.0000	0.9553	0.8354
20	0.8301	0.4289	0.1818	1.7976	0.0438	0.8721	16.7000	0.1035	2.8052	48.0000	0.1356	410.0000	0.3143	534.0000	1699.0000	0.9537	0.8874
21	0.8350	0.4240	0.1681	1.9036	0.0448	0.8660	16.9000	0.0964	2.6457	51.0000	0.1281	467.0000	0.3090	525.0000	1699.0000	0.9529	0.8635
22	0.8173	0.4277	0.1769	1.8952	0.0391	0.8521	16.8000	0.0964	2.7984	51.0000	0.1253	420.0000	0.2949	501.0000	1699.0000	0.9595	0.8444
23	0.8338	0.4207	0.1784	2.0209	0.0503	0.8709	16.7000	0.1053	2.6772	52.0000	0.1354	479.0000	0.3172	539.0000	1699.0000	0.9520	0.8321
24	0.8366	0.4293	0.1729	1.6377	0.0424	0.8824	17.0000	0.0863	2.8233	46.0000	0.1141	461.0000	0.3131	532.0000	1699.0000	0.9653	0.8527
25	0.8139	0.4314	0.1886	1.9551	0.0446	0.8730	17.0000	0.0804	2.8120	51.0000	0.1301	445.0000	0.3349	569.0000	1699.0000	0.9528	0.8579
26	0.8044	0.4219	0.1751	1.9401	0.0408	0.8764	17.1000	0.0752	2.6537	52.0000	0.1195	484.0000	0.3331	566.0000	1699.0000	0.9628	0.8378
27	0.7690	0.4149	0.1602	1.7390	0.0365	0.8527	16.9000	0.1061	2.7483	47.0000	0.1354	410.0000	0.2619	445.0000	1699.0000	0.9683	0.8612
28	0.7949	0.4293	0.1761	1.8700	0.0413	0.8363	16.8000	0.1030	2.7337	60.0000	0.1504	477.0000	0.3161	537.0000	1699.0000	0.9497	0.8542
29	0.7872	0.4240	0.1744	2.0984	0.0373	0.8403	17.0000	0.1127	2.8085	58.0000	0.1625	437.0000	0.3043	517.0000	1699.0000	0.9451	0.8382
30	0.7975	0.4232	0.1837	1.7555	0.0420	0.8626	16.9000	0.1068	2.8216	52.0000	0.1262	454.0000	0.3167	538.0000	1699.0000	0.9604	0.8757
31	0.8288	0.4227	0.1667	1.7518	0.0404	0.8700	16.9000	0.0835	2.8745	50.0000	0.1453	419.0000	0.2813	478.0000	1699.0000	0.9547	0.8673
32	0.7616	0.4223	0.1679	1.9722	0.0383	0.8309	16.9000	0.1208	2.7921	58.0000	0.1510	431.0000	0.2972	505.0000	1699.0000	0.9559	0.8573
33	0.8117	0.4281	0.1874	1.8259	0.0511	0.8711	16.9000	0.0980	2.8060	54.0000	0.1295	448.0000	0.3125	531.0000	1699.0000	0.9487	0.8617
34	0.8046	0.4178	0.1746	1.8652	0.0418	0.8557	17.0000	0.1050	2.7853	52.0000	0.1490	408.0000	0.2878	489.0000	1699.0000	0.9461	0.8470
35	0.8083	0.4244	0.1736	1.8302	0.0398	0.8719	16.8000	0.0848	2.9249	48.0000	0.1356	424.0000	0.2902	493.0000	1699.0000	0.9670	0.8771
