run	doculect	accuracy	purity	words	sounds
1	Austral_128	0.8223922902494332	0.8748614514301329	184	15
1	Austral_1213	0.7841880341880342	0.8575756085824076	162	16
1	Sikaiana_243	0.8071428571428572	0.8573166896572222	166	18
1	Maori_85	0.742283950617284	0.8632431997056456	171	17
1	Rapanui_264	0.7437037037037035	0.883470311572298	164	19
1	Tahitian_173	0.8461805555555556	0.8715383969179591	179	16
1	Tuamotuan_246	0.7648697214734952	0.855029483181977	167	18
1	Mangareva_239	0.7585714285714283	0.8713344043535698	180	20
1	Hawaiian_52	0.8305555555555555	0.8671871037144421	179	15
1	NorthMarquesan_38	0.7471248876909253	0.8696517329160092	173	18
2	Austral_128	0.7896666666666667	0.8870255463272038	178	15
2	Austral_1213	0.8150406504065042	0.8547310363154975	160	16
2	Sikaiana_243	0.8445945945945946	0.8558336659467298	160	18
2	Maori_85	0.7076576576576578	0.865370482411168	176	17
2	Rapanui_264	0.7912878787878787	0.8778323936615089	171	19
2	Tahitian_173	0.8049242424242423	0.88861700380959	169	16
2	Tuamotuan_246	0.7801136363636363	0.8604498588483221	175	18
2	Mangareva_239	0.7794573643410853	0.869435350142119	169	20
2	Hawaiian_52	0.8995726495726495	0.8901028829054316	177	15
2	NorthMarquesan_38	0.7300000000000002	0.8499492076907992	181	19
3	Austral_128	0.7933962264150944	0.8824434128049664	172	15
3	Austral_1213	0.884761904761905	0.8691537782782058	154	16
3	Sikaiana_243	0.775	0.8526990310334672	169	18
3	Maori_85	0.8358156028368795	0.8718320368334633	169	17
3	Rapanui_264	0.5995098039215686	0.8453148003975789	179	20
3	Tahitian_173	0.8015503875968992	0.8606341437157397	167	16
3	Tuamotuan_246	0.8833333333333333	0.8861790518768828	166	18
3	Mangareva_239	0.7364583333333333	0.8744965647789156	180	20
3	Hawaiian_52	0.8876811594202899	0.8844490683250809	168	15
3	NorthMarquesan_38	0.7773504273504274	0.8649515000678801	185	19
4	Austral_128	0.8220720720720722	0.8822090918524416	177	15
4	Austral_1213	0.8260416666666667	0.8823315502309269	156	16
4	Sikaiana_243	0.7434343434343434	0.8684968492675174	164	17
4	Maori_85	0.7798245614035088	0.8776535791037364	176	17
4	Rapanui_264	0.8357843137254903	0.8898929033517771	175	20
4	Tahitian_173	0.8879365079365079	0.8885546484558767	162	16
4	Tuamotuan_246	0.8555860805860805	0.8804403805125012	160	18
4	Mangareva_239	0.7890350877192983	0.8779016025384283	173	20
4	Hawaiian_52	0.8050387596899223	0.872319273325396	176	15
4	NorthMarquesan_38	0.6773504273504274	0.8706579890001684	181	18
5	Austral_128	0.822072072072072	0.885043829679876	175	15
5	Austral_1213	0.8645833333333333	0.8774342051127039	151	16
5	Sikaiana_243	0.8621212121212121	0.8702839266820086	162	17
5	Maori_85	0.7901360544217687	0.873293943693765	176	17
5	Rapanui_264	0.7128205128205128	0.8686529196654177	175	20
5	Tahitian_173	0.7970833333333334	0.8828788625163837	167	16
5	Tuamotuan_246	0.8292592592592591	0.8699540840599567	164	18
5	Mangareva_239	0.8070652173913045	0.8653332258707881	171	20
5	Hawaiian_52	0.8763157894736842	0.8908097651593706	173	15
5	NorthMarquesan_38	0.7105291005291005	0.851068247392938	184	19
6	Austral_128	0.8466666666666665	0.888255381228433	171	15
6	Austral_1213	0.8509259259259259	0.8908856172402245	153	16
6	Sikaiana_243	0.7988095238095239	0.8752617496878946	161	17
6	Maori_85	0.8156162464985994	0.8941001649036547	178	17
6	Rapanui_264	0.6816666666666668	0.8726305290201917	169	20
6	Tahitian_173	0.8300813008130081	0.8871366024895653	164	16
6	Tuamotuan_246	0.849206349206349	0.8923333902318888	151	18
6	Mangareva_239	0.8729166666666668	0.8866898418519288	170	20
6	Hawaiian_52	0.8366666666666667	0.8949844472253145	172	15
6	NorthMarquesan_38	0.8541666666666667	0.8867521286246058	181	19
7	Austral_128	0.9009009009009009	0.8923710507733985	171	15
7	Austral_1213	0.8072916666666666	0.8800055052544483	161	16
7	Sikaiana_243	0.5833333333333333	0.834488620179438	162	17
7	Maori_85	0.7833333333333334	0.8718358043293185	161	17
7	Rapanui_264	0.6848958333333334	0.8976996952742472	174	20
7	Tahitian_173	0.878623188405797	0.889616237988595	147	16
7	Tuamotuan_246	0.8372929606625258	0.8943234720155495	167	18
7	Mangareva_239	0.7980263157894738	0.8914305725207193	171	20
7	Hawaiian_52	0.8229166666666667	0.9031428692671032	172	15
7	NorthMarquesan_38	0.7223577235772358	0.867670761638234	181	19
8	Austral_128	0.7264814814814814	0.8711757302924036	171	15
8	Austral_1213	0.7751773049645391	0.862443003031712	150	16
8	Sikaiana_243	0.8485714285714286	0.8736390054704725	161	17
8	Maori_85	0.8532407407407406	0.8720619606298377	178	17
8	Rapanui_264	0.7760416666666666	0.8835229564281739	181	20
8	Tahitian_173	0.8642857142857143	0.910772776174568	173	16
8	Tuamotuan_246	0.9052489177489178	0.8940309844922748	164	18
8	Mangareva_239	0.8710884353741497	0.8948944291762223	169	20
8	Hawaiian_52	0.8022727272727272	0.8971641226694557	171	15
8	NorthMarquesan_38	0.708994708994709	0.8570676225589046	181	19
9	Austral_128	0.7904761904761904	0.8767210291955628	169	15
9	Austral_1213	0.8691666666666666	0.8778333648145307	148	16
9	Sikaiana_243	0.6804347826086956	0.8710411551054957	171	17
9	Maori_85	0.7491228070175439	0.8864218041405837	171	17
9	Rapanui_264	0.7789215686274509	0.879002207162803	175	19
9	Tahitian_173	0.8800865800865801	0.8899682509324836	159	16
9	Tuamotuan_246	0.8178294573643409	0.8673594091045335	167	18
9	Mangareva_239	0.8471957671957673	0.8957690677008988	170	19
9	Hawaiian_52	0.819642857142857	0.9002886722722956	179	15
9	NorthMarquesan_38	0.7909090909090909	0.8698228846036901	177	19
10	Austral_128	0.8239316239316241	0.8776655076228717	168	15
10	Austral_1213	0.8804761904761904	0.8970482430990936	154	15
10	Sikaiana_243	0.6196078431372548	0.8367926559637417	164	17
10	Maori_85	0.7679166666666668	0.8694932271376828	175	17
10	Rapanui_264	0.8462719298245616	0.874122375598506	172	20
10	Tahitian_173	0.8295698924731183	0.8912571593274488	168	16
10	Tuamotuan_246	0.8827988338192418	0.8887463812165345	161	18
10	Mangareva_239	0.8383333333333333	0.8973691990315247	164	20
10	Hawaiian_52	0.8275862068965518	0.883550429753958	180	15
10	NorthMarquesan_38	0.7051587301587302	0.8649536613475088	170	19
11	Austral_128	0.7952380952380952	0.8663118429833732	171	15
11	Austral_1213	0.8527777777777777	0.8695052329415025	165	16
11	Sikaiana_243	0.7767676767676768	0.8605690080371836	164	17
11	Maori_85	0.7720376522702105	0.876302497907682	163	17
11	Rapanui_264	0.8092342342342342	0.8795667713996567	171	20
11	Tahitian_173	0.8923280423280422	0.877485973033845	163	16
11	Tuamotuan_246	0.8622619047619049	0.8721780046203202	169	18
11	Mangareva_239	0.8783783783783784	0.890093170453298	174	20
11	Hawaiian_52	0.8129166666666666	0.8851994710499529	175	15
11	NorthMarquesan_38	0.814957264957265	0.865483445532637	182	19
12	Austral_128	0.8401709401709402	0.8707570880811267	176	15
12	Austral_1213	0.8060975609756097	0.8555792814209616	151	16
12	Sikaiana_243	0.8113333333333332	0.8722392852681536	167	17
12	Maori_85	0.8150793650793651	0.8600120976530482	166	17
12	Rapanui_264	0.7696078431372548	0.8683523221197658	166	20
12	Tahitian_173	0.8365942028985506	0.8676904591521192	157	16
12	Tuamotuan_246	0.8304487179487179	0.8611390162482132	153	18
12	Mangareva_239	0.8699404761904762	0.8826040234701793	164	20
12	Hawaiian_52	0.867857142857143	0.8919709211033798	183	15
12	NorthMarquesan_38	0.7540540540540541	0.8633733402956075	176	19
13	Austral_128	0.8503703703703702	0.8860715359557316	167	14
13	Austral_1213	0.9085119047619047	0.8894788824308063	148	16
13	Sikaiana_243	0.8005952380952381	0.8699191865592277	165	17
13	Maori_85	0.770516717325228	0.868676299956633	166	17
13	Rapanui_264	0.8134146341463415	0.8844075300221556	172	20
13	Tahitian_173	0.8924242424242426	0.8882512648299793	167	16
13	Tuamotuan_246	0.8455782312925171	0.887003727260373	162	18
13	Mangareva_239	0.8441666666666666	0.904012420717879	169	19
13	Hawaiian_52	0.8341765873015873	0.8998110825936716	168	15
13	NorthMarquesan_38	0.8050925925925926	0.8842986580949819	180	19
14	Austral_128	0.8527131782945736	0.8925801832027158	164	15
14	Austral_1213	0.8162280701754387	0.8730308107963621	152	16
14	Sikaiana_243	0.8286666666666669	0.876051752633208	160	17
14	Maori_85	0.8400000000000001	0.8899702932335845	166	17
14	Rapanui_264	0.7963963963963966	0.8861303592665811	174	20
14	Tahitian_173	0.8632352941176471	0.8889657960290974	164	16
14	Tuamotuan_246	0.8505627705627704	0.8785048908182107	153	18
14	Mangareva_239	0.8474747474747475	0.8992137030663748	178	20
14	Hawaiian_52	0.8409313725490196	0.90013520331725	174	15
14	NorthMarquesan_38	0.7547619047619049	0.8806461817603639	186	19
15	Austral_128	0.8212500000000003	0.8787222579874908	169	15
15	Austral_1213	0.9256666666666666	0.8891912042448472	157	16
15	Sikaiana_243	0.7120833333333334	0.8525363179386604	161	17
15	Maori_85	0.7903225806451613	0.8586234314940024	184	17
15	Rapanui_264	0.5387254901960784	0.8442048768764067	176	20
15	Tahitian_173	0.8514285714285714	0.8746743556571551	167	16
15	Tuamotuan_246	0.8562893081761007	0.8725409418498501	157	18
15	Mangareva_239	0.8613475177304964	0.8917928760436302	155	19
15	Hawaiian_52	0.8712962962962963	0.8889392108237137	169	15
15	NorthMarquesan_38	0.7697368421052632	0.8691028074884255	181	19
16	Austral_128	0.7988425925925926	0.8759436750562055	172	15
16	Austral_1213	0.8257352941176471	0.88120444687482	146	16
16	Sikaiana_243	0.8702380952380951	0.8602901427752836	165	17
16	Maori_85	0.8385714285714286	0.8902520749472626	167	17
16	Rapanui_264	0.8443798449612402	0.8864594441428448	162	19
16	Tahitian_173	0.8698198198198199	0.8831278725312173	159	16
16	Tuamotuan_246	0.8168767507002802	0.8858892031270732	170	18
16	Mangareva_239	0.8642857142857142	0.8921466930208616	167	19
16	Hawaiian_52	0.7696969696969695	0.8767562117178971	177	15
16	NorthMarquesan_38	0.7833333333333334	0.8706014238578137	172	19
17	Austral_128	0.9032738095238096	0.8678374632090955	171	15
17	Austral_1213	0.9107936507936508	0.8919945814325395	155	16
17	Sikaiana_243	0.6591954022988505	0.8428936845909716	165	17
17	Maori_85	0.8257575757575758	0.8755885471680829	173	17
17	Rapanui_264	0.7824561403508772	0.8903475048802901	171	20
17	Tahitian_173	0.8184684684684685	0.8664474494888599	166	16
17	Tuamotuan_246	0.8581481481481481	0.8764901861907954	168	18
17	Mangareva_239	0.8869918699186992	0.9104498425474489	171	20
17	Hawaiian_52	0.8364035087719298	0.8699745294978597	169	15
17	NorthMarquesan_38	0.7183150183150183	0.8748717966290003	176	19
18	Austral_128	0.8429166666666668	0.8781571679383521	169	15
18	Austral_1213	0.8376344086021505	0.8874079617411513	158	15
18	Sikaiana_243	0.8095238095238095	0.8796567065747208	166	17
18	Maori_85	0.8229729729729731	0.8788204211229212	171	17
18	Rapanui_264	0.7838383838383839	0.899712488590078	168	20
18	Tahitian_173	0.8954954954954953	0.8977982540346157	169	16
18	Tuamotuan_246	0.8991228070175438	0.8971123744000812	163	18
18	Mangareva_239	0.8067460317460315	0.8726070866578298	164	20
18	Hawaiian_52	0.8317460317460318	0.8835797923774474	168	15
18	NorthMarquesan_38	0.8090909090909091	0.8910999140501006	169	19
19	Austral_128	0.831439393939394	0.8927748033778354	170	15
19	Austral_1213	0.8017241379310344	0.8693371328831915	154	16
19	Sikaiana_243	0.8444444444444444	0.8892173761702739	163	17
19	Maori_85	0.7740196078431373	0.8778607592942397	171	17
19	Rapanui_264	0.7876984126984128	0.8802784915969983	167	20
19	Tahitian_173	0.8875	0.898518653753612	168	16
19	Tuamotuan_246	0.8504329004329003	0.8776759207387294	156	18
19	Mangareva_239	0.82875	0.8981522670810757	170	20
19	Hawaiian_52	0.7398809523809524	0.8967066265184549	180	15
19	NorthMarquesan_38	0.6836879432624112	0.8716690680545772	175	19
20	Austral_128	0.775	0.8758945346890117	167	15
20	Austral_1213	0.783044733044733	0.894081762100042	160	16
20	Sikaiana_243	0.7574074074074075	0.8769917567913545	155	17
20	Maori_85	0.8198924731182795	0.8834289792049191	183	17
20	Rapanui_264	0.8689655172413793	0.8982170992690157	177	19
20	Tahitian_173	0.8279166666666666	0.8777815661915424	160	16
20	Tuamotuan_246	0.8554421768707484	0.8889237746985674	169	18
20	Mangareva_239	0.8454954954954954	0.9025867585367802	171	20
20	Hawaiian_52	0.8028455284552847	0.9011834243446527	167	15
20	NorthMarquesan_38	0.8082766439909298	0.8766217120811893	176	19
21	Austral_128	0.8780952380952382	0.8980341883491165	173	15
21	Austral_1213	0.84296875	0.871990002663879	154	16
21	Sikaiana_243	0.765625	0.8594574036268972	162	17
21	Maori_85	0.8315789473684211	0.8619462809057419	171	17
21	Rapanui_264	0.8349462365591398	0.8832097740423732	173	20
21	Tahitian_173	0.8634259259259259	0.8940780535001732	166	16
21	Tuamotuan_246	0.86875	0.8999899116883664	168	18
21	Mangareva_239	0.8863636363636366	0.8943245630269433	169	19
21	Hawaiian_52	0.8265765765765766	0.870680158760374	176	15
21	NorthMarquesan_38	0.7892063492063494	0.879003323730682	178	19
22	Austral_128	0.8403508771929824	0.8885906927533609	173	15
22	Austral_1213	0.7595238095238096	0.8778645081413011	152	16
22	Sikaiana_243	0.7947916666666666	0.8765847968644593	159	17
22	Maori_85	0.8505376344086021	0.8821425309566054	176	17
22	Rapanui_264	0.8333333333333334	0.8964130080513049	172	20
22	Tahitian_173	0.8929629629629631	0.8918124630321447	155	16
22	Tuamotuan_246	0.8501930501930502	0.881337840521119	164	18
22	Mangareva_239	0.8725925925925926	0.8989307821966414	167	20
22	Hawaiian_52	0.8405405405405407	0.9018474756540193	169	15
22	NorthMarquesan_38	0.7927489177489179	0.8829643576041619	177	19
23	Austral_128	0.9068707482993198	0.8902999594310292	181	15
23	Austral_1213	0.781609195402299	0.8607843808870932	159	16
23	Sikaiana_243	0.5857142857142857	0.8386160131543996	160	17
23	Maori_85	0.8075757575757575	0.8851481564200337	174	17
23	Rapanui_264	0.7814393939393939	0.8761451405675095	167	19
23	Tahitian_173	0.8375	0.8859708411564591	160	16
23	Tuamotuan_246	0.8618589743589743	0.8902064266978963	156	18
23	Mangareva_239	0.8009009009009008	0.8824503443902331	170	20
23	Hawaiian_52	0.7672413793103449	0.8972548565811409	181	15
23	NorthMarquesan_38	0.7186507936507937	0.8789137737296248	174	19
24	Austral_128	0.8205882352941177	0.8746532627250215	171	15
24	Austral_1213	0.7517241379310344	0.8756924566750988	159	16
24	Sikaiana_243	0.6673611111111111	0.8719702512702625	168	17
24	Maori_85	0.7930894308943089	0.8964438456774643	176	17
24	Rapanui_264	0.7409722222222221	0.8893609083036385	165	20
24	Tahitian_173	0.8835034013605443	0.8948004012877011	165	16
24	Tuamotuan_246	0.857469654528478	0.8877658383051467	156	18
24	Mangareva_239	0.862037037037037	0.9109327722996944	174	20
24	Hawaiian_52	0.8267441860465116	0.9010742687160469	173	15
24	NorthMarquesan_38	0.7186666666666666	0.8758428129986989	189	19
25	Austral_128	0.8480158730158732	0.8942043678547836	174	15
25	Austral_1213	0.8169047619047619	0.8779452297702134	150	16
25	Sikaiana_243	0.6866666666666666	0.8458980999375681	160	17
25	Maori_85	0.8247619047619049	0.8515238311190264	166	17
25	Rapanui_264	0.8738095238095239	0.8733530937946378	178	20
25	Tahitian_173	0.88	0.8953669112645889	172	16
25	Tuamotuan_246	0.8897435897435898	0.8886435120873624	169	18
25	Mangareva_239	0.8546747967479672	0.8736062856852789	176	20
25	Hawaiian_52	0.8475000000000001	0.8977791242721332	166	15
25	NorthMarquesan_38	0.7686046511627906	0.8761111077303112	174	19
26	Austral_128	0.7986111111111112	0.8725455147777995	179	15
26	Austral_1213	0.8460565476190477	0.9041337242078215	161	16
26	Sikaiana_243	0.7838709677419355	0.8649914152326084	163	17
26	Maori_85	0.8208713272543059	0.8962616663989905	163	17
26	Rapanui_264	0.6712962962962963	0.8704753690963727	171	20
26	Tahitian_173	0.9154471544715447	0.9052401410301397	165	16
26	Tuamotuan_246	0.8647058823529411	0.892244530613189	156	18
26	Mangareva_239	0.7371428571428572	0.8774617615729896	178	20
26	Hawaiian_52	0.8825	0.904102999819717	171	15
26	NorthMarquesan_38	0.8088652482269504	0.8833956629848209	168	19
27	Austral_128	0.8400103519668738	0.8952910883296336	167	15
27	Austral_1213	0.8119628339140537	0.8599387716346468	149	16
27	Sikaiana_243	0.7604166666666666	0.8894154513388561	167	17
27	Maori_85	0.8615942028985506	0.885193063479623	168	17
27	Rapanui_264	0.784313725490196	0.8934302867346321	175	20
27	Tahitian_173	0.9087500000000001	0.8956849053982515	159	16
27	Tuamotuan_246	0.8536324786324787	0.8796619108821206	173	18
27	Mangareva_239	0.8342105263157894	0.8898517085206409	173	20
27	Hawaiian_52	0.8081300813008132	0.9060838623443632	169	15
27	NorthMarquesan_38	0.805855855855856	0.8872858036360988	179	19
28	Austral_128	0.7644444444444445	0.8890867336380481	176	15
28	Austral_1213	0.8121212121212122	0.8832440106029741	151	15
28	Sikaiana_243	0.8134615384615385	0.8819351459171666	167	17
28	Maori_85	0.8073529411764708	0.8887780827949396	178	17
28	Rapanui_264	0.8254629629629628	0.8937703799330656	175	20
28	Tahitian_173	0.8696428571428572	0.8991047515072894	156	16
28	Tuamotuan_246	0.7853835978835981	0.8679855602640569	166	18
28	Mangareva_239	0.8927083333333333	0.9054419504593688	161	20
28	Hawaiian_52	0.8068376068376067	0.8856353727510154	171	15
28	NorthMarquesan_38	0.7950757575757575	0.8879900169614272	172	18
29	Austral_128	0.8743230625583565	0.9040124245735179	160	15
29	Austral_1213	0.8800925925925926	0.904329697452717	153	16
29	Sikaiana_243	0.8583333333333333	0.8889085537852395	170	17
29	Maori_85	0.8069105691056909	0.8828688781663988	170	17
29	Rapanui_264	0.7987500000000001	0.8987110565946513	173	20
29	Tahitian_173	0.8865740740740741	0.9032561439967506	177	16
29	Tuamotuan_246	0.8736471861471862	0.8925317978096413	163	18
29	Mangareva_239	0.8621621621621621	0.9132906975914714	172	20
29	Hawaiian_52	0.8299145299145297	0.9014428725194438	168	15
29	NorthMarquesan_38	0.813888888888889	0.8938648526037924	174	18
30	Austral_128	0.8390919158361019	0.8992246693770365	175	15
30	Austral_1213	0.8365914786967419	0.8735339857973375	145	16
30	Sikaiana_243	0.798611111111111	0.86853060724361	153	17
30	Maori_85	0.8436507936507938	0.8981598873580303	167	17
30	Rapanui_264	0.8306451612903227	0.903553779581646	179	19
30	Tahitian_173	0.8661764705882353	0.9029790328158966	173	16
30	Tuamotuan_246	0.8131181318681319	0.8938267358276633	165	18
30	Mangareva_239	0.7572222222222222	0.8823144702325669	168	20
30	Hawaiian_52	0.8133333333333332	0.9024885866750405	165	15
30	NorthMarquesan_38	0.8213768115942028	0.893297128704392	176	19
31	Austral_128	0.869952380952381	0.8893557364876403	172	15
31	Austral_1213	0.8624999999999999	0.8702160341414402	154	16
31	Sikaiana_243	0.7925	0.8549570842868933	168	17
31	Maori_85	0.8207207207207208	0.8929050953009366	179	17
31	Rapanui_264	0.8245833333333332	0.8894700691287198	169	20
31	Tahitian_173	0.8589147286821708	0.8706986625164028	164	16
31	Tuamotuan_246	0.8123015873015873	0.8820922737835131	163	18
31	Mangareva_239	0.8119565217391305	0.8787941455814763	170	20
31	Hawaiian_52	0.8549999999999999	0.8922012389833278	174	15
31	NorthMarquesan_38	0.7765765765765766	0.8742127036777898	182	18
32	Austral_128	0.8920289855072463	0.8957400741042906	175	15
32	Austral_1213	0.8333333333333333	0.8838554562261438	155	15
32	Sikaiana_243	0.7999999999999999	0.8877082820259234	167	17
32	Maori_85	0.7652173913043478	0.8862430443970136	163	17
32	Rapanui_264	0.8277777777777777	0.8926208466323986	168	20
32	Tahitian_173	0.8419354838709678	0.8884222583471785	168	16
32	Tuamotuan_246	0.8335106382978723	0.8630111382904467	161	18
32	Mangareva_239	0.8502915451895043	0.8874227234623918	164	20
32	Hawaiian_52	0.7777777777777777	0.891734467404752	177	15
32	NorthMarquesan_38	0.8384353741496599	0.8741950218618131	175	18
33	Austral_128	0.7977351916376306	0.8817098571095722	176	15
33	Austral_1213	0.8517241379310346	0.8943144215988074	156	16
33	Sikaiana_243	0.771904761904762	0.8449409035177137	159	17
33	Maori_85	0.8421568627450979	0.8948415401054047	175	17
33	Rapanui_264	0.7626016260162601	0.878627973241769	170	20
33	Tahitian_173	0.8938095238095238	0.8978911705781928	169	16
33	Tuamotuan_246	0.8082972582972583	0.8949502538832822	172	18
33	Mangareva_239	0.840079365079365	0.8949356946822246	165	20
33	Hawaiian_52	0.7746031746031745	0.8760789664589359	169	15
33	NorthMarquesan_38	0.7257369614512472	0.8867337644021389	174	18
34	Austral_128	0.8323260073260071	0.8779268274352984	159	14
34	Austral_1213	0.8218146718146718	0.8681372681770275	151	15
34	Sikaiana_243	0.8072463768115944	0.8836726556032997	166	17
34	Maori_85	0.8419047619047619	0.8968625751084336	170	17
34	Rapanui_264	0.7728571428571428	0.8980441231857023	173	19
34	Tahitian_173	0.8734234234234233	0.8948705237575281	169	16
34	Tuamotuan_246	0.8684397163120565	0.9074537114298874	154	18
34	Mangareva_239	0.8205420466058764	0.9067980263426891	168	19
34	Hawaiian_52	0.8333333333333333	0.9041400302675557	182	15
34	NorthMarquesan_38	0.773931623931624	0.9065809814975389	185	19
35	Austral_128	0.8097264437689968	0.8803467412003825	168	15
35	Austral_1213	0.7862394957983193	0.872920458845549	156	15
35	Sikaiana_243	0.8901960784313725	0.8809837147888047	163	17
35	Maori_85	0.8066666666666666	0.8645582868134523	164	17
35	Rapanui_264	0.8195238095238097	0.8866831627536252	173	20
35	Tahitian_173	0.8670833333333334	0.8953756103020977	166	16
35	Tuamotuan_246	0.8732456140350878	0.8892870088470304	164	18
35	Mangareva_239	0.8673611111111111	0.8932131401469766	167	19
35	Hawaiian_52	0.7605555555555554	0.8894206846533872	179	15
35	NorthMarquesan_38	0.7860248447204967	0.8908282712617566	173	18
36	Austral_128	0.850900900900901	0.8906100108978957	184	15
